Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
247,2011,04,16,04/16/2011,TBA,Rangers,AL,Rays,AL
248,2011,04,16,04/16/2011,TBA,Orioles,AL,Red Sox,AL
249,2011,04,17,04/17/2011,05:35 PM,Marlins,NL,Yankees,AL
250,2011,04,17,04/17/2011,06:05 PM,Rockies,NL,Pirates,NL
251,2011,04,17,04/17/2011,06:07 PM,Royals,AL,Blue Jays,AL
252,2011,04,17,04/17/2011,06:10 PM,Nationals,NL,Mets,NL
253,2011,04,17,04/17/2011,06:10 PM,Orioles,AL,Tigers,AL
254,2011,04,17,04/17/2011,06:40 PM,Reds,NL,Brewers,NL
255,2011,04,17,04/17/2011,07:05 PM,Cardinals,NL,Cubs,NL
256,2011,04,17,04/17/2011,08:40 PM,Giants,NL,Diamondbacks,NL
257,2011,04,17,04/17/2011,09:05 PM,White Sox,AL,Athletics,AL
258,2011,04,17,04/17/2011,09:10 PM,Astros,AL,Mariners,AL
259,2011,04,17,04/17/2011,09:10 PM,Dodgers,NL,Padres,NL
260,2011,04,17,04/17/2011,TBA,Red Sox,AL,Angels,AL
261,2011,04,17,04/17/2011,TBA,Phillies,NL,Braves,NL
262,2011,04,17,04/17/2011,TBA,Rangers,AL,Rays,AL
263,2011,04,17,04/17/2011,TBA,Indians,AL,Twins,AL
264,2011,04,18,04/18/2011,01:20 PM,Cardinals,NL,Cubs,NL
265,2011,04,18,04/18/2011,02:35 PM,White Sox,AL,Athletics,AL
266,2011,04,18,04/18/2011,03:07 PM,Royals,AL,Blue Jays,AL
267,2011,04,18,04/18/2011,06:10 PM,Nationals,NL,Mets,NL
268,2011,04,18,04/18/2011,06:10 PM,Orioles,AL,Tigers,AL
269,2011,04,18,04/18/2011,08:40 PM,Giants,NL,Diamondbacks,NL
270,2011,04,18,04/18/2011,09:10 PM,Astros,AL,Mariners,AL
271,2011,04,18,04/18/2011,09:10 PM,Dodgers,NL,Padres,NL
272,2011,04,18,04/18/2011,11:35 AM,Rockies,NL,Pirates,NL
273,2011,04,18,04/18/2011,12:40 PM,Reds,NL,Brewers,NL
274,2011,04,18,04/18/2011,TBA,Red Sox,AL,Angels,AL
275,2011,04,18,04/18/2011,TBA,Phillies,NL,Braves,NL
276,2011,04,18,04/18/2011,TBA,Rangers,AL,Rays,AL
277,2011,04,18,04/18/2011,TBA,Indians,AL,Twins,AL
278,2011,04,19,04/19/2011,02:40 PM,Astros,AL,Mariners,AL
279,2011,04,19,04/19/2011,05:35 PM,Blue Jays,AL,Yankees,AL
280,2011,04,19,04/19/2011,06:05 PM,Pirates,NL,Phillies,NL
281,2011,04,19,04/19/2011,07:10 PM,Marlins,NL,Brewers,NL
282,2011,04,19,04/19/2011,08:40 PM,Giants,NL,Diamondbacks,NL
283,2011,04,19,04/19/2011,12:10 PM,Orioles,AL,Tigers,AL
284,2011,04,19,04/19/2011,TBA,Red Sox,AL,Angels,AL
285,2011,04,19,04/19/2011,TBA,Mets,NL,Braves,NL
286,2011,04,20,04/20/2011,06:05 PM,Indians,AL,Orioles,AL
287,2011,04,20,04/20/2011,06:05 PM,Pirates,NL,Phillies,NL
288,2011,04,20,04/20/2011,06:05 PM,Blue Jays,AL,Yankees,AL
289,2011,04,20,04/20/2011,06:10 PM,Royals,AL,Tigers,AL
290,2011,04,20,04/20/2011,07:10 PM,Marlins,NL,Brewers,NL
291,2011,04,20,04/20/2011,07:15 PM,Reds,NL,Cardinals,NL
292,2011,04,20,04/20/2011,07:40 PM,Cubs,NL,Rockies,NL
293,2011,04,20,04/20/2011,08:40 PM,Padres,NL,Diamondbacks,NL
294,2011,04,20,04/20/2011,09:05 PM,Red Sox,AL,Athletics,AL
295,2011,04,20,04/20/2011,TBA,Giants,NL,Angels,AL
296,2011,04,20,04/20/2011,TBA,Mets,NL,Braves,NL
297,2011,04,20,04/20/2011,TBA,Nationals,NL,Dodgers,NL
298,2011,04,20,04/20/2011,TBA,Mariners,AL,Rangers,AL
299,2011,04,20,04/20/2011,TBA,Twins,AL,Rays,AL
300,2011,04,20,04/20/2011,TBA,Astros,AL,White Sox,AL
301,2011,04,21,04/21/2011,01:15 PM,Reds,NL,Cardinals,NL
302,2011,04,21,04/21/2011,03:05 PM,Pirates,NL,Phillies,NL
303,2011,04,21,04/21/2011,06:05 PM,Indians,AL,Orioles,AL
304,2011,04,21,04/21/2011,06:10 PM,Marlins,NL,Brewers,NL
305,2011,04,21,04/21/2011,07:10 PM,Padres,NL,Diamondbacks,NL
306,2011,04,21,04/21/2011,07:10 PM,Cubs,NL,Rockies,NL
307,2011,04,21,04/21/2011,08:05 PM,Red Sox,AL,Athletics,AL
308,2011,04,21,04/21/2011,12:05 PM,Blue Jays,AL,Yankees,AL
309,2011,04,21,04/21/2011,12:10 PM,Royals,AL,Tigers,AL
310,2011,04,21,04/21/2011,TBA,Giants,NL,Angels,AL
311,2011,04,21,04/21/2011,TBA,Mets,NL,Braves,NL
312,2011,04,21,04/21/2011,TBA,Nationals,NL,Dodgers,NL
313,2011,04,21,04/21/2011,TBA,Mariners,AL,Rangers,AL
314,2011,04,21,04/21/2011,TBA,Twins,AL,Rays,AL
315,2011,04,21,04/21/2011,TBA,Astros,AL,White Sox,AL
316,2011,04,22,04/22/2011,01:10 PM,Marlins,NL,Brewers,NL
317,2011,04,22,04/22/2011,01:15 PM,Reds,NL,Cardinals,NL
318,2011,04,22,04/22/2011,02:10 PM,Cubs,NL,Rockies,NL
319,2011,04,22,04/22/2011,03:05 PM,Red Sox,AL,Athletics,AL
320,2011,04,22,04/22/2011,03:10 PM,Padres,NL,Diamondbacks,NL
321,2011,04,22,04/22/2011,12:05 PM,Indians,AL,Orioles,AL
322,2011,04,22,04/22/2011,12:05 PM,Blue Jays,AL,Yankees,AL
