"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Mike Montgomery","Mariners","30.3 %","67.8 %","45.8 %","68.9 %","89.2 %","81.3 %","41.4 %","63.0 %","8.5 %","4869"
"Wade Miley","Red Sox","30.3 %","61.5 %","43.0 %","67.8 %","90.0 %","80.7 %","40.6 %","61.4 %","8.3 %","8779"
"Jaime Garcia","Cardinals","30.3 %","67.2 %","48.0 %","62.2 %","89.8 %","80.8 %","48.1 %","58.8 %","9.2 %","8137"
"Rick Porcello","Red Sox","30.2 %","64.4 %","46.7 %","71.6 %","86.9 %","81.8 %","48.1 %","60.5 %","8.5 %","2717"
"Jumbo Diaz","Reds","30.2 %","74.0 %","50.6 %","57.7 %","77.7 %","71.4 %","46.7 %","60.0 %","14.4 %","3397"
"Michael Blazek","Brewers","30.1 %","57.8 %","41.1 %","56.7 %","87.8 %","74.0 %","39.6 %","62.6 %","10.7 %","9654"
"Gio Gonzalez","Nationals","30.1 %","65.2 %","44.3 %","65.2 %","86.2 %","77.7 %","40.5 %","59.9 %","9.8 %","7448"
"Kyle Hendricks","Cubs","30.1 %","60.8 %","43.2 %","68.8 %","89.7 %","81.3 %","42.8 %","63.1 %","8.1 %","12049"
"Robbie Ross Jr.","Red Sox","30.1 %","66.6 %","47.5 %","67.5 %","86.8 %","80.4 %","47.7 %","61.4 %","9.2 %","6819"
"Chasen Shreve","Yankees","30.1 %","68.4 %","43.7 %","57.5 %","88.4 %","74.7 %","35.5 %","53.4 %","11.0 %","10855"
"Chris Young","Royals","30.0 %","65.2 %","45.3 %","65.9 %","87.2 %","79.2 %","43.5 %","58.0 %","9.4 %","3196"
"Mike Fiers","- - -","30.0 %","67.5 %","47.7 %","68.1 %","84.9 %","79.3 %","47.1 %","60.6 %","9.8 %","7754"
"Robbie Ray","Diamondbacks","30.0 %","67.1 %","46.8 %","69.1 %","87.0 %","80.7 %","45.3 %","60.7 %","9.0 %","11486"
"Trevor Rosenthal","Cardinals","30.0 %","77.9 %","51.8 %","66.7 %","82.3 %","77.4 %","45.5 %","57.1 %","11.6 %","10745"
"Michael Lorenzen","Reds","29.9 %","68.9 %","46.5 %","71.5 %","86.9 %","81.2 %","42.7 %","57.1 %","8.6 %","14843"
"Scott Feldman","Astros","29.9 %","65.2 %","45.2 %","73.8 %","90.4 %","84.2 %","43.5 %","60.8 %","7.1 %","6283"
"Anthony DeSclafani","Reds","29.9 %","70.1 %","48.9 %","67.2 %","86.5 %","80.3 %","47.3 %","62.8 %","9.5 %","13050"
"Justin De Fratus","Phillies","29.8 %","71.2 %","47.7 %","65.6 %","85.9 %","78.7 %","43.1 %","55.0 %","10.1 %","4955"
"Aaron Harang","Phillies","29.8 %","70.9 %","47.9 %","73.7 %","90.6 %","84.8 %","44.1 %","62.3 %","7.3 %","1451"
"Jose Urena","Marlins","29.7 %","68.3 %","45.7 %","72.3 %","88.6 %","82.3 %","41.3 %","58.0 %","8.0 %","11589"
"Juan Nicasio","Dodgers","29.7 %","69.7 %","47.9 %","65.7 %","82.1 %","76.6 %","45.4 %","62.3 %","11.0 %","7731"
"Tyson Ross","Padres","29.7 %","60.6 %","42.8 %","49.1 %","85.8 %","71.1 %","42.4 %","57.7 %","12.3 %","7872"
"Bud Norris","- - -","29.7 %","63.1 %","44.1 %","65.2 %","86.4 %","78.3 %","43.1 %","58.6 %","9.6 %","9492"
"Derek Holland","Rangers","29.7 %","67.3 %","44.7 %","72.1 %","92.6 %","84.4 %","39.9 %","63.7 %","6.9 %","4141"
"Marco Estrada","Blue Jays","29.6 %","72.2 %","49.3 %","74.0 %","82.8 %","80.0 %","46.3 %","57.8 %","9.9 %","1118"
"Jeanmar Gomez","Phillies","29.6 %","65.5 %","46.0 %","70.4 %","89.3 %","82.7 %","45.7 %","62.1 %","7.8 %","9033"
"Wade Davis","Royals","29.6 %","66.2 %","46.2 %","60.4 %","82.5 %","74.7 %","45.4 %","61.0 %","11.6 %","7441"
"Drew Storen","Nationals","29.4 %","65.7 %","46.0 %","55.2 %","82.8 %","73.2 %","45.7 %","61.8 %","12.2 %","6983"
"Al Alburquerque","Tigers","29.4 %","61.5 %","43.6 %","54.3 %","86.2 %","74.1 %","44.1 %","56.8 %","11.1 %","6324"
"Mike Leake","- - -","29.4 %","67.3 %","46.5 %","71.2 %","94.6 %","86.5 %","45.1 %","61.3 %","6.3 %","10130"
"Lance Lynn","Cardinals","29.4 %","73.1 %","46.8 %","70.5 %","87.1 %","80.8 %","39.8 %","56.5 %","8.9 %","2520"
"Carson Smith","Mariners","29.4 %","55.0 %","41.2 %","41.0 %","86.8 %","69.2 %","46.1 %","58.8 %","12.5 %","13172"
"Yordano Ventura","Royals","29.3 %","65.1 %","45.2 %","56.7 %","88.4 %","77.0 %","44.4 %","59.7 %","10.4 %","11855"
"Jeff Locke","Pirates","29.3 %","65.6 %","44.9 %","69.0 %","86.2 %","79.8 %","43.0 %","62.5 %","9.0 %","2929"
"Randall Delgado","Diamondbacks","29.3 %","66.4 %","45.1 %","52.3 %","81.2 %","70.5 %","42.7 %","63.0 %","13.3 %","5985"
"Matt Wisler","Braves","29.3 %","69.6 %","48.1 %","70.4 %","89.2 %","83.1 %","46.8 %","59.4 %","8.1 %","12804"
"Steve Geltz","Rays","29.3 %","67.6 %","46.7 %","66.3 %","86.9 %","79.8 %","45.4 %","60.6 %","9.3 %","8402"
"David Buchanan","Phillies","29.3 %","69.9 %","47.4 %","72.7 %","90.9 %","84.7 %","44.7 %","61.5 %","7.2 %","11176"
"Danny Farquhar","Mariners","29.2 %","67.8 %","46.6 %","67.2 %","84.0 %","78.2 %","45.2 %","58.5 %","10.1 %","8501"
"Dellin Betances","Yankees","29.2 %","55.7 %","41.1 %","39.1 %","78.6 %","63.1 %","44.8 %","59.3 %","15.1 %","6216"
"Sonny Gray","Athletics","29.2 %","67.1 %","46.7 %","61.2 %","88.4 %","79.2 %","46.1 %","59.2 %","9.7 %","12768"
"Roenis Elias","Mariners","29.2 %","66.0 %","45.6 %","65.7 %","85.0 %","78.1 %","44.5 %","60.0 %","9.9 %","12673"
"Alex Wood","- - -","29.2 %","64.1 %","44.8 %","69.0 %","88.9 %","81.7 %","44.7 %","62.9 %","8.2 %","13781"
"Aaron Brooks","- - -","29.1 %","72.3 %","48.6 %","75.2 %","89.3 %","84.7 %","45.3 %","62.8 %","7.5 %","12272"
"Edinson Volquez","Royals","29.1 %","63.3 %","45.3 %","64.2 %","86.7 %","79.1 %","47.4 %","58.1 %","9.5 %","3990"
"J.J. Hoover","Reds","29.1 %","68.8 %","45.2 %","67.9 %","82.3 %","76.8 %","40.5 %","52.7 %","10.5 %","9037"
"Andrew Cashner","Padres","29.1 %","65.6 %","45.4 %","68.2 %","89.5 %","82.0 %","44.6 %","61.7 %","8.2 %","8782"
"Eduardo Rodriguez","Red Sox","29.1 %","67.9 %","46.9 %","72.4 %","88.8 %","83.3 %","45.9 %","57.1 %","7.8 %","13164"
"Mike Dunn","Marlins","29.0 %","67.4 %","46.1 %","58.2 %","80.3 %","72.6 %","44.6 %","58.3 %","12.6 %","9948"
"Yimi Garcia","Dodgers","29.0 %","72.3 %","52.5 %","58.6 %","76.6 %","72.1 %","54.3 %","63.6 %","14.6 %","12095"
"Nathan Eovaldi","Yankees","29.0 %","67.0 %","47.1 %","67.9 %","87.9 %","81.5 %","47.7 %","59.7 %","8.7 %","9132"
"Luis Garcia","Phillies","28.9 %","67.5 %","45.0 %","47.9 %","87.4 %","72.6 %","41.7 %","52.0 %","12.1 %","6984"
"Travis Wood","Cubs","28.9 %","71.1 %","46.4 %","67.4 %","85.0 %","78.6 %","41.4 %","62.1 %","9.8 %","9884"
"Alfredo Simon","Tigers","28.9 %","67.5 %","46.5 %","68.2 %","89.9 %","82.5 %","45.5 %","55.7 %","8.1 %","2155"
"Matt Shoemaker","Angels","28.8 %","67.1 %","46.2 %","64.8 %","88.3 %","80.3 %","45.4 %","60.5 %","9.1 %","4776"
"Nathan Karns","Rays","28.8 %","64.4 %","44.5 %","65.8 %","87.0 %","79.3 %","44.1 %","57.7 %","9.2 %","12638"
"Cesar Ramos","Angels","28.8 %","69.8 %","46.1 %","59.5 %","92.7 %","80.8 %","42.3 %","63.4 %","8.9 %","3357"
"Anthony Bass","Rangers","28.8 %","64.2 %","44.5 %","64.7 %","89.9 %","80.9 %","44.4 %","63.6 %","8.5 %","7982"
"Tom Wilhelmsen","Mariners","28.7 %","65.9 %","45.0 %","60.8 %","84.2 %","75.8 %","43.7 %","53.2 %","10.8 %","9975"
"Alex Colome","Rays","28.7 %","68.0 %","46.0 %","57.0 %","87.2 %","76.6 %","44.0 %","62.1 %","10.7 %","6661"
"Drew Pomeranz","Athletics","28.7 %","68.3 %","47.3 %","67.6 %","81.0 %","76.7 %","46.9 %","58.8 %","11.0 %","11426"
"Vance Worley","Pirates","28.6 %","67.5 %","46.1 %","77.0 %","92.1 %","87.0 %","45.0 %","58.4 %","6.0 %","6435"
"Matt Andriese","Rays","28.6 %","65.4 %","45.8 %","67.5 %","87.9 %","81.1 %","46.6 %","58.9 %","8.6 %","12022"
"J.R. Graham","Twins","28.6 %","71.5 %","48.6 %","63.4 %","84.6 %","77.9 %","46.5 %","57.6 %","10.7 %","12042"
"Sean O'Sullivan","Phillies","28.5 %","66.8 %","46.1 %","73.3 %","93.0 %","86.4 %","45.9 %","62.2 %","6.2 %","9137"
"Carlos Rodon","White Sox","28.5 %","66.0 %","44.1 %","61.7 %","86.6 %","77.1 %","41.5 %","52.9 %","10.1 %","16137"
"Chase Anderson","Diamondbacks","28.5 %","66.5 %","46.6 %","72.1 %","87.9 %","82.8 %","47.6 %","61.6 %","8.0 %","6895"
"Luis Severino","Yankees","28.4 %","63.5 %","44.8 %","63.2 %","86.5 %","78.7 %","46.7 %","62.8 %","9.6 %","15890"
"Kevin Quackenbush","Padres","28.4 %","66.5 %","46.2 %","71.8 %","84.1 %","80.1 %","46.8 %","59.7 %","9.1 %","12360"
"Danny Duffy","Royals","28.3 %","68.3 %","47.4 %","75.4 %","85.4 %","82.3 %","47.7 %","57.0 %","8.4 %","3542"
"Tim Hudson","Giants","28.3 %","67.1 %","46.5 %","65.6 %","90.0 %","82.1 %","46.7 %","63.2 %","8.3 %","921"
"Shawn Tolleson","Rangers","28.3 %","61.8 %","44.2 %","65.5 %","82.3 %","76.6 %","47.5 %","66.1 %","10.2 %","10481"
"Josh Collmenter","Diamondbacks","28.2 %","69.3 %","46.7 %","76.1 %","89.6 %","85.1 %","45.0 %","58.9 %","6.9 %","7312"
"Kendall Graveman","Athletics","28.1 %","63.7 %","44.4 %","64.4 %","92.4 %","82.8 %","45.9 %","59.2 %","7.6 %","15514"
"Mike Bolsinger","Dodgers","28.1 %","56.4 %","40.8 %","57.5 %","91.5 %","78.7 %","45.0 %","54.9 %","8.7 %","11137"
"J.A. Happ","- - -","28.0 %","66.1 %","45.5 %","72.2 %","86.9 %","82.0 %","45.9 %","60.1 %","8.1 %","7410"
"Julio Teheran","Braves","28.0 %","68.1 %","45.5 %","59.8 %","85.1 %","76.3 %","43.7 %","57.3 %","10.8 %","6797"
"Bryan Shaw","Indians","28.0 %","69.8 %","48.4 %","65.1 %","83.1 %","77.7 %","48.8 %","61.5 %","10.7 %","8110"
"Christian Bergman","Rockies","27.9 %","70.4 %","49.3 %","76.1 %","89.9 %","86.0 %","50.3 %","67.8 %","6.9 %","10925"
"Kyle Ryan","Tigers","27.9 %","64.9 %","44.2 %","68.4 %","91.8 %","83.5 %","44.1 %","60.3 %","7.3 %","11753"
"Aaron Nola","Phillies","27.7 %","61.1 %","43.6 %","66.1 %","87.3 %","80.2 %","47.4 %","63.8 %","8.6 %","16149"
"Andrew Chafin","Diamondbacks","27.7 %","67.0 %","44.8 %","64.1 %","91.7 %","82.1 %","43.5 %","53.9 %","7.9 %","12988"
"A.J. Burnett","Pirates","27.7 %","63.9 %","44.0 %","58.6 %","90.9 %","79.7 %","45.0 %","60.7 %","8.9 %","512"
"Will Harris","Astros","27.6 %","67.0 %","44.4 %","65.2 %","89.7 %","81.0 %","42.7 %","59.8 %","8.4 %","3192"
"Jesse Chavez","Athletics","27.6 %","66.7 %","43.7 %","71.6 %","85.1 %","80.1 %","41.2 %","60.7 %","8.7 %","5448"
"Tom Koehler","Marlins","27.5 %","64.2 %","43.9 %","69.5 %","90.7 %","83.3 %","44.6 %","58.5 %","7.3 %","6570"
"Ross Detwiler","- - -","27.5 %","66.8 %","44.0 %","78.4 %","86.6 %","83.6 %","42.2 %","53.1 %","7.2 %","2859"
"Ubaldo Jimenez","Orioles","27.4 %","59.9 %","41.6 %","66.8 %","88.8 %","80.6 %","43.5 %","60.6 %","8.0 %","3374"
"Craig Kimbrel","Padres","27.4 %","68.1 %","45.9 %","46.0 %","75.2 %","65.7 %","45.5 %","61.1 %","15.7 %","6655"
"Jeremy Guthrie","Royals","27.4 %","66.9 %","46.0 %","77.6 %","90.4 %","86.4 %","47.2 %","63.1 %","6.3 %","2072"
"Dan Jennings","White Sox","27.3 %","65.6 %","44.1 %","57.9 %","90.9 %","79.4 %","43.9 %","57.4 %","8.8 %","8073"
"Taylor Jungmann","Brewers","27.3 %","62.1 %","42.5 %","61.5 %","90.9 %","80.3 %","43.6 %","56.7 %","8.4 %","13119"
"Brad Hand","Marlins","27.2 %","69.6 %","45.5 %","70.4 %","89.5 %","83.0 %","43.1 %","52.2 %","7.7 %","9111"
"Lance McCullers","Astros","27.2 %","63.4 %","43.7 %","56.1 %","88.4 %","77.4 %","45.4 %","57.1 %","9.8 %","14120"
"Blaine Hardy","Tigers","27.2 %","67.9 %","47.3 %","62.9 %","82.6 %","76.9 %","49.4 %","67.9 %","10.9 %","6499"
"Chris Heston","Giants","27.2 %","59.9 %","41.3 %","63.9 %","87.1 %","78.4 %","43.2 %","56.6 %","8.9 %","10302"
"Trevor Bauer","Indians","27.1 %","69.2 %","45.1 %","58.4 %","89.4 %","78.7 %","42.7 %","59.1 %","9.6 %","12703"
"Chris Bassitt","Athletics","27.1 %","65.3 %","45.4 %","70.0 %","86.3 %","81.2 %","48.0 %","54.9 %","8.5 %","12304"
"Burke Badenhop","Reds","27.1 %","63.7 %","43.4 %","65.2 %","95.2 %","84.8 %","44.5 %","59.7 %","6.5 %","9736"
"Justin Masterson","Red Sox","27.0 %","64.1 %","42.5 %","68.6 %","92.2 %","83.5 %","41.7 %","56.0 %","7.0 %","2038"
"Neal Cotts","- - -","27.0 %","69.8 %","46.9 %","57.8 %","88.4 %","79.0 %","46.4 %","55.0 %","9.8 %","1797"
"Chi Chi Gonzalez","Rangers","27.0 %","67.0 %","44.4 %","75.5 %","89.5 %","84.7 %","43.6 %","58.2 %","6.8 %","14663"
"Scott Oberg","Rockies","26.9 %","63.9 %","43.4 %","65.1 %","88.0 %","80.1 %","44.5 %","54.8 %","8.6 %","13911"
"Daniel Norris","- - -","26.9 %","62.0 %","42.3 %","57.1 %","90.1 %","78.3 %","44.0 %","53.4 %","9.2 %","13475"
"Joe Kelly","Red Sox","26.6 %","61.7 %","41.8 %","65.4 %","91.4 %","82.0 %","43.4 %","62.1 %","7.5 %","9761"
"Chris Tillman","Orioles","26.4 %","67.4 %","45.4 %","75.0 %","88.5 %","84.3 %","46.4 %","57.9 %","7.1 %","5279"
"Jered Weaver","Angels","26.4 %","64.7 %","44.7 %","74.0 %","84.4 %","81.2 %","47.8 %","60.8 %","8.3 %","4235"
"Jon Niese","Mets","26.4 %","65.5 %","44.6 %","75.2 %","92.5 %","87.0 %","46.6 %","62.3 %","5.8 %","4424"
"Kyle Kendrick","Rockies","26.4 %","68.5 %","46.2 %","75.0 %","90.9 %","86.1 %","47.2 %","63.8 %","6.4 %","6230"
"Corey Knebel","Brewers","26.3 %","66.8 %","46.6 %","54.1 %","88.4 %","78.7 %","49.9 %","57.9 %","9.9 %","15010"
"Hector Santiago","Angels","26.3 %","64.6 %","44.2 %","69.6 %","85.9 %","80.7 %","46.8 %","57.5 %","8.5 %","4026"
"Ryan Vogelsong","Giants","26.2 %","65.2 %","42.8 %","73.6 %","91.5 %","85.2 %","42.5 %","60.0 %","6.3 %","1011"
"Steven Wright","Red Sox","26.2 %","63.1 %","43.6 %","73.8 %","80.8 %","78.6 %","46.9 %","55.2 %","9.3 %","8185"
"Kevin Siegrist","Cardinals","26.1 %","65.6 %","44.1 %","67.4 %","81.9 %","77.2 %","45.6 %","63.8 %","10.0 %","8180"
"Felix Doubront","- - -","26.1 %","64.5 %","45.2 %","59.6 %","86.2 %","78.5 %","49.7 %","50.3 %","9.7 %","1478"
"Steve Cishek","- - -","26.1 %","62.7 %","41.4 %","62.0 %","86.6 %","77.6 %","42.0 %","64.6 %","9.2 %","6483"
"C.J. Wilson","Angels","25.9 %","63.2 %","42.4 %","62.1 %","88.7 %","79.7 %","44.4 %","59.5 %","8.6 %","3580"
"Mike Pelfrey","Twins","25.8 %","67.8 %","45.0 %","76.1 %","92.6 %","87.5 %","45.7 %","57.8 %","5.6 %","5203"
"Hansel Robles","Mets","25.7 %","73.4 %","49.4 %","67.0 %","77.7 %","74.9 %","49.6 %","59.9 %","12.4 %","11801"
"Eddie Butler","Rockies","25.7 %","69.6 %","45.1 %","74.1 %","89.3 %","84.5 %","44.1 %","57.0 %","6.9 %","13453"
"Addison Reed","- - -","25.5 %","72.0 %","48.9 %","67.0 %","87.5 %","82.2 %","50.3 %","56.9 %","8.5 %","10586"
"Yovani Gallardo","Rangers","25.5 %","65.1 %","42.1 %","74.5 %","89.9 %","84.4 %","41.8 %","59.0 %","6.5 %","8173"
"Matt Boyd","- - -","25.5 %","64.6 %","44.6 %","71.0 %","86.1 %","81.7 %","48.8 %","59.1 %","8.2 %","15440"
"Wily Peralta","Brewers","25.5 %","71.0 %","44.7 %","68.5 %","92.4 %","84.5 %","42.3 %","56.7 %","6.9 %","7738"
"Zach McAllister","Indians","25.3 %","68.9 %","47.4 %","66.9 %","83.4 %","79.0 %","50.6 %","57.5 %","9.8 %","2895"
"Odrisamer Despaigne","Padres","25.3 %","67.0 %","44.4 %","77.1 %","91.5 %","87.1 %","45.9 %","58.5 %","5.7 %","16017"
"Franklin Morales","Royals","25.2 %","63.7 %","43.5 %","71.2 %","88.9 %","83.5 %","47.6 %","52.7 %","7.2 %","5088"
"Yohan Flande","Rockies","25.1 %","63.2 %","43.6 %","67.7 %","88.6 %","82.4 %","48.6 %","59.1 %","7.6 %","5057"
"Wandy Rodriguez","Rangers","24.9 %","61.3 %","41.5 %","73.6 %","92.3 %","86.2 %","45.5 %","65.1 %","5.7 %","2586"
"Williams Perez","Braves","24.8 %","65.8 %","42.3 %","76.2 %","90.3 %","85.5 %","42.7 %","56.6 %","6.1 %","11592"
"Fernando Rodney","- - -","24.8 %","60.2 %","40.9 %","68.7 %","79.9 %","76.2 %","45.5 %","59.6 %","9.6 %","494"
"Keyvius Sampson","Reds","24.7 %","69.3 %","44.0 %","67.1 %","86.6 %","80.4 %","43.3 %","55.0 %","8.6 %","10039"
"John Axford","Rockies","24.2 %","70.7 %","44.5 %","61.8 %","84.1 %","77.2 %","43.7 %","51.6 %","10.0 %","9059"
"Jean Machi","- - -","24.1 %","73.3 %","45.9 %","63.8 %","86.9 %","80.2 %","44.4 %","55.3 %","9.1 %","3220"
"Aaron Sanchez","Blue Jays","23.3 %","62.8 %","41.6 %","65.8 %","90.7 %","83.2 %","46.3 %","53.4 %","7.0 %","11490"
"Jarred Cosart","Marlins","23.2 %","68.7 %","42.7 %","60.7 %","92.7 %","82.8 %","42.9 %","54.4 %","7.4 %","10304"
"David Phelps","Marlins","22.4 %","60.8 %","41.7 %","82.6 %","91.7 %","89.3 %","50.3 %","64.7 %","4.5 %","6316"
"James Paxton","Mariners","21.3 %","66.0 %","40.8 %","63.2 %","90.3 %","82.3 %","43.7 %","53.5 %","7.2 %","11828"
