"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Jordan Zimmermann","Tigers","54.1 %","92.2","24.4 %","87.0","","","15.6 %","80.8","6.0 %","86.4","","","","","0.3 %","4505"
"Dylan Bundy","Orioles","53.7 %","92.2","22.3 %","83.1","","","10.4 %","74.5","13.7 %","83.7","","","","","","12917"
"Mike Montgomery","Cubs","52.7 %","92.2","","","11.4 %","88.3","23.9 %","77.2","12.1 %","83.3","","","","","0.6 %","4869"
"Brad Peacock","Astros","51.4 %","92.1","37.5 %","81.4","","","6.7 %","77.2","4.4 %","81.1","","","","","0.0 %","5401"
"Trevor Williams","Pirates","71.7 %","92.1","16.2 %","84.1","","","2.1 %","76.8","10.1 %","85.2","","","","","0.5 %","16977"
"Jason Hammel","Royals","50.1 %","92.1","36.8 %","84.9","","","9.5 %","77.5","3.6 %","85.0","","","","","0.2 %","4538"
"Matt Andriese","Rays","44.3 %","92.1","","","10.3 %","86.5","17.3 %","81.1","28.1 %","86.1","","","","","0.4 %","12022"
"Tyler Duffey","Twins","59.5 %","92.1","","","","","35.1 %","81.4","5.4 %","83.8","","","","","1.6 %","13758"
"Jake Arrieta","Cubs","63.9 %","92.1","","","14.1 %","87.8","14.2 %","78.7","7.8 %","87.2","","","","","0.3 %","4153"
"Jose Quintana","- - -","62.8 %","92.1","","","","","28.2 %","77.1","9.1 %","86.1","","","","","0.4 %","11423"
"Ariel Miranda","Mariners","57.6 %","92.1","5.3 %","82.1","","","","","16.4 %","83.6","20.7 %","80.6","","","0.2 %","17526"
"Kyle Gibson","Twins","57.6 %","92.0","17.8 %","84.0","","","9.9 %","79.5","14.7 %","84.0","","","","","","10123"
"Matt Boyd","Tigers","50.5 %","92.0","11.0 %","86.1","","","18.0 %","74.6","20.6 %","81.0","","","","","0.5 %","15440"
"Danny Barnes","Blue Jays","67.3 %","92.0","5.0 %","83.6","","","","","27.8 %","79.5","","","","","0.4 %","11388"
"Jesse Chavez","Angels","33.5 %","92.0","16.3 %","84.2","27.7 %","90.4","8.1 %","76.2","14.4 %","85.2","","","","","0.4 %","5448"
"Aaron Nola","Phillies","53.6 %","92.0","","","","","30.8 %","77.5","15.7 %","83.9","","","","","0.3 %","16149"
"Cole Hamels","Rangers","47.8 %","92.0","","","18.6 %","88.8","12.9 %","79.1","20.7 %","83.2","","","","","0.2 %","4972"
"Kyle Freeland","Rockies","63.9 %","92.0","4.1 %","80.5","25.0 %","86.3","","","7.1 %","86.2","","","","","0.5 %","16256"
"Tyler Anderson","Rockies","47.7 %","92.0","","","21.7 %","87.5","0.1 %","76.0","30.4 %","82.9","","","","","","12880"
"Matt Moore","Giants","51.7 %","92.0","","","14.6 %","89.2","17.8 %","81.1","15.9 %","83.1","","","","","0.4 %","1890"
"Jordan Montgomery","Yankees","41.9 %","92.0","12.7 %","85.9","","","26.1 %","80.5","19.3 %","84.4","","","","","","16511"
"Brian Duensing","Cubs","48.9 %","91.9","24.4 %","81.3","","","13.4 %","72.4","13.3 %","85.1","","","","","0.4 %","4064"
"Tyler Skaggs","Angels","60.1 %","91.9","","","","","31.1 %","75.7","8.8 %","85.1","","","","","","10190"
"Oliver Drake","- - -","51.4 %","91.9","1.0 %","85.3","","","","","","","47.7 %","83.3","","","0.8 %","8823"
"Aaron Loup","Blue Jays","65.4 %","91.9","10.2 %","77.2","10.2 %","85.2","","","14.2 %","79.7","","","","","2.0 %","10343"
"Junior Guerra","Brewers","64.7 %","91.9","16.5 %","81.5","","","","","","","18.8 %","84.2","","","","5702"
"Ian Kennedy","Royals","61.6 %","91.9","","","12.0 %","85.8","15.8 %","77.8","10.7 %","84.8","","","","","0.2 %","6986"
"Zack Godley","Diamondbacks","32.9 %","91.9","","","24.0 %","89.9","35.6 %","83.4","7.6 %","84.0","","","","","0.3 %","14862"
"Matt Garza","Brewers","60.6 %","91.9","22.4 %","82.5","","","10.3 %","73.9","6.7 %","84.1","","","","","0.8 %","3340"
"J.A. Happ","Blue Jays","70.2 %","91.8","12.4 %","86.0","","","5.3 %","76.9","12.1 %","86.5","","","","","0.1 %","7410"
"Mike Pelfrey","White Sox","59.3 %","91.8","10.7 %","83.0","","","15.0 %","70.1","","","15.0 %","81.2","","","0.5 %","5203"
"Alex Wood","Dodgers","50.4 %","91.8","","","","","24.1 %","83.4","25.4 %","85.1","","","","","1.1 %","13781"
"Dan Jennings","- - -","52.0 %","91.8","48.0 %","83.0","","","","","","","","","","","2.4 %","8073"
"Lance Lynn","Cardinals","81.1 %","91.8","11.7 %","87.1","","","4.7 %","78.8","2.6 %","84.2","","","","","0.6 %","2520"
"Jake Faria","Rays","54.0 %","91.8","23.5 %","83.4","","","4.6 %","75.3","18.0 %","81.4","","","","","0.2 %","13699"
"Luke Sims","Braves","46.3 %","91.8","27.5 %","86.5","","","13.2 %","76.7","13.0 %","83.6","","","","","0.8 %","13470"
"Cory Gearrin","Giants","54.8 %","91.7","34.5 %","84.8","","","","","10.7 %","84.9","","","","","1.5 %","7947"
"Nick Goody","Indians","52.5 %","91.7","47.5 %","83.1","","","","","","","","","","","0.9 %","13685"
"Amir Garrett","Reds","62.1 %","91.7","22.3 %","79.4","","","","","15.5 %","80.7","","","","","0.7 %","14375"
"Alex Cobb","Rays","51.5 %","91.7","","","","","34.1 %","80.6","14.4 %","85.6","","","","","0.3 %","6562"
"David Robertson","- - -","52.4 %","91.6","","","","","46.3 %","82.5","1.3 %","87.1","","","","","1.7 %","8241"
"Erasmo Ramirez","- - -","44.4 %","91.6","9.7 %","83.8","25.0 %","88.6","0.4 %","77.0","20.5 %","83.6","","","","","0.3 %","10314"
"Sean Manaea","Athletics","58.4 %","91.6","17.7 %","80.0","","","","","24.0 %","83.4","","","","","0.2 %","15873"
"Austin Pruitt","Rays","43.3 %","91.6","","","27.8 %","87.5","15.0 %","81.1","14.0 %","85.4","","","","","0.8 %","15290"
"Chris Stratton","Giants","62.3 %","91.6","11.4 %","84.1","","","18.5 %","77.5","7.8 %","84.3","","","","","","13761"
"T.J. McFarland","Diamondbacks","73.1 %","91.6","14.5 %","81.7","","","","","12.4 %","84.4","","","","","2.3 %","3237"
"Jake Odorizzi","Rays","48.7 %","91.6","11.1 %","82.4","11.9 %","86.6","5.7 %","72.1","22.7 %","84.1","","","","","0.2 %","6397"
"Brett Cecil","Cardinals","40.7 %","91.5","","","16.8 %","88.8","28.0 %","83.4","14.4 %","83.1","","","0.1 %","75.0","0.9 %","2660"
"Kenta Maeda","Dodgers","43.5 %","91.5","25.0 %","84.0","8.4 %","87.5","14.1 %","75.1","9.0 %","83.5","","","","","0.2 %","18498"
"Craig Stammen","Padres","62.9 %","91.5","26.6 %","85.8","","","8.1 %","79.3","2.4 %","86.4","","","","","0.9 %","7274"
"Matt Shoemaker","Angels","49.1 %","91.5","18.8 %","83.0","","","3.0 %","77.6","","","29.1 %","85.1","","","","4776"
"Daniel Gossett","Athletics","52.8 %","91.5","22.2 %","83.8","","","14.4 %","78.3","10.6 %","84.2","","","","","","16164"
"Jhoulys Chacin","Padres","54.1 %","91.4","34.8 %","80.2","0.5 %","89.4","4.7 %","76.1","5.9 %","83.5","","","","","0.4 %","2608"
"Paul Sewald","Mets","64.0 %","91.4","32.4 %","82.9","","","","","3.6 %","82.2","","","","","0.4 %","13892"
"Ben Lively","Phillies","60.8 %","91.4","12.8 %","81.9","","","20.5 %","75.6","5.9 %","85.1","","","","","0.3 %","14932"
"Joe Ross","Nationals","54.7 %","91.4","34.1 %","85.2","","","3.0 %","80.3","8.1 %","84.9","","","","","0.7 %","12972"
"Julio Teheran","Braves","64.5 %","91.4","19.4 %","82.5","","","8.9 %","73.2","7.2 %","82.0","","","","","0.3 %","6797"
"Chris Rusin","Rockies","43.0 %","91.4","2.6 %","83.1","27.5 %","88.3","","","26.9 %","84.5","","","","","0.3 %","9895"
"Drew Pomeranz","Red Sox","55.0 %","91.3","","","6.5 %","86.7","37.0 %","79.4","1.5 %","81.1","","","","","","11426"
"Johnny Cueto","Giants","51.2 %","91.3","7.0 %","83.8","19.8 %","85.5","2.5 %","82.2","19.5 %","81.8","","","","","0.3 %","6893"
"Jakob Junis","Royals","55.3 %","91.2","31.4 %","81.4","","","6.0 %","77.1","7.3 %","82.2","","","","","0.3 %","13619"
"Casey Lawrence","- - -","59.2 %","91.2","23.1 %","81.7","","","1.0 %","77.0","16.7 %","83.5","","","","","1.4 %","11121"
"Jon Lester","Cubs","50.6 %","91.1","","","27.6 %","87.6","13.2 %","75.5","8.7 %","84.6","","","","","0.3 %","4930"
"Rick Porcello","Red Sox","59.6 %","91.1","16.7 %","85.6","","","15.5 %","74.7","8.3 %","80.3","","","","","0.1 %","2717"
"Fernando Salas","- - -","63.2 %","91.1","15.6 %","82.7","4.1 %","88.3","","","17.1 %","86.1","","","","","1.7 %","4971"
"Seth Lugo","Mets","55.9 %","91.1","14.7 %","85.6","1.4 %","89.3","17.4 %","76.3","10.6 %","84.4","","","","","0.2 %","12447"
"Tyler Clippard","- - -","38.0 %","91.1","","","10.1 %","80.2","","","35.6 %","79.1","16.4 %","82.4","","","0.4 %","5640"
"Derek Holland","White Sox","55.1 %","91.1","13.6 %","81.1","","","21.9 %","77.9","9.4 %","83.1","","","","","0.3 %","4141"
"Madison Bumgarner","Giants","43.2 %","91.0","35.5 %","86.7","","","15.7 %","78.1","5.5 %","82.9","","","","","0.7 %","5524"
"Miguel Gonzalez","- - -","49.9 %","91.0","20.8 %","86.5","","","16.8 %","77.4","","","12.5 %","84.3","","","0.3 %","7024"
"George Kontos","- - -","25.1 %","91.0","18.7 %","83.8","52.9 %","87.2","1.6 %","79.4","1.8 %","85.8","","","","","0.8 %","9486"
"Matt Grace","Nationals","71.6 %","91.0","24.0 %","82.9","","","","","4.4 %","85.9","","","","","2.1 %","11449"
"Mark Leiter","Phillies","54.9 %","91.0","3.9 %","82.2","3.8 %","88.7","8.6 %","72.3","11.1 %","82.6","17.6 %","84.8","","","0.5 %","15551"
"Wade Miley","Orioles","53.3 %","91.0","13.9 %","84.1","11.5 %","88.5","10.3 %","76.9","11.1 %","83.1","","","","","0.1 %","8779"
"Daniel Coulombe","Athletics","30.3 %","91.0","32.3 %","86.2","","","37.5 %","80.9","","","","","","","0.4 %","13293"
"Matt Bowman","Cardinals","63.8 %","91.0","12.1 %","86.4","","","","","","","24.2 %","80.3","","","0.8 %","13528"
"Zack Greinke","Diamondbacks","48.2 %","91.0","22.6 %","84.2","","","13.3 %","74.1","15.8 %","87.4","","","","","","1943"
"John Lackey","Cubs","52.4 %","90.9","35.5 %","82.5","","","7.5 %","77.5","4.6 %","83.3","","","","","0.4 %","1507"
"Ricky Nolasco","Angels","48.4 %","90.9","27.4 %","81.1","","","9.3 %","73.7","","","15.0 %","81.0","","","0.4 %","3830"
"Trevor Cahill","- - -","47.1 %","90.9","8.0 %","85.3","0.8 %","89.2","21.6 %","79.4","22.5 %","83.8","","","","","0.3 %","6249"
"Alec Asher","Orioles","46.8 %","90.9","","","30.4 %","88.4","14.5 %","79.1","8.3 %","82.7","","","","","0.5 %","13560"
"CC Sabathia","Yankees","23.5 %","90.9","31.1 %","79.6","30.0 %","89.9","","","15.3 %","83.9","","","","","0.0 %","404"
"Andrew Moore","Mariners","52.5 %","90.8","13.5 %","81.6","","","15.5 %","75.3","18.6 %","81.5","","","","","","17553"
"Anibal Sanchez","Tigers","48.8 %","90.8","11.6 %","84.5","8.7 %","88.9","9.9 %","77.0","20.9 %","81.6","","","","","0.1 %","3284"
"Jaime Garcia","- - -","60.9 %","90.7","13.9 %","82.3","","","6.8 %","74.3","18.5 %","83.2","","","","","0.8 %","8137"
"Chris Tillman","Orioles","50.5 %","90.7","4.2 %","83.3","22.0 %","85.5","8.3 %","75.7","15.1 %","83.7","","","","","","5279"
"Hector Santiago","Twins","60.0 %","90.7","2.4 %","82.7","2.9 %","86.5","11.3 %","76.6","23.4 %","82.6","","","","","","4026"
"Clayton Richard","Padres","68.7 %","90.7","18.8 %","81.2","1.4 %","86.3","","","11.1 %","83.9","","","","","0.8 %","3551"
"Ubaldo Jimenez","Orioles","55.6 %","90.5","18.9 %","82.3","0.7 %","89.3","4.3 %","74.9","2.8 %","82.0","17.6 %","84.3","","","0.2 %","3374"
"Brett Anderson","- - -","52.6 %","90.5","21.4 %","82.4","","","12.2 %","75.3","13.8 %","83.5","","","","","","8223"
"Matt Belisle","Twins","52.7 %","90.5","33.4 %","86.0","","","11.6 %","73.7","2.2 %","85.0","","","","","2.4 %","1837"
"Felix Hernandez","Mariners","44.4 %","90.5","8.5 %","84.7","","","21.4 %","79.7","25.7 %","86.4","","","","","","4772"
"Jerad Eickhoff","Phillies","50.2 %","90.4","16.5 %","84.7","","","32.6 %","76.3","0.7 %","80.9","","","","","0.7 %","12664"
"Austin Bibens-Dirkx","Rangers","41.8 %","90.3","7.3 %","79.7","28.6 %","86.6","6.0 %","79.5","16.4 %","84.5","","","","","","9559"
"Dan Straily","Marlins","50.5 %","90.3","29.8 %","83.7","","","3.0 %","73.4","16.8 %","83.3","","","","","0.5 %","9460"
"Peter Moylan","Royals","49.8 %","90.3","47.2 %","78.8","","","","","3.0 %","84.4","","","","","1.0 %","4891"
"Pat Neshek","- - -","45.3 %","90.3","52.1 %","83.5","","","","","2.6 %","67.8","","","","","","4682"
"Hyun-Jin Ryu","Dodgers","36.8 %","90.3","4.2 %","78.1","18.0 %","86.6","15.6 %","71.6","25.4 %","80.9","","","","","0.5 %","14444"
"Drew Storen","Reds","43.8 %","90.2","38.6 %","80.0","","","","","17.6 %","83.8","","","","","1.7 %","6983"
"Paul Blackburn","Athletics","55.4 %","90.2","26.0 %","84.5","","","9.3 %","75.7","9.3 %","83.3","","","","","","14739"
"Collin McHugh","Astros","50.8 %","90.2","17.2 %","80.3","10.3 %","86.4","20.2 %","74.0","1.5 %","84.5","","","","","","7531"
"Jeremy Hellickson","- - -","46.1 %","90.2","","","11.8 %","86.9","12.6 %","76.6","29.5 %","81.3","","","","","0.3 %","4371"
"Tim Adleman","Reds","58.3 %","90.1","","","6.3 %","89.1","15.2 %","73.9","20.2 %","84.1","","","","","0.3 %","10968"
"Mike Leake","- - -","46.1 %","90.1","13.6 %","80.9","22.4 %","88.9","6.8 %","78.3","11.1 %","84.2","","","","","0.5 %","10130"
"Chase Whitley","Rays","43.5 %","90.1","25.5 %","81.8","","","0.5 %","75.5","30.5 %","82.8","","","","","1.2 %","10982"
"Ty Blach","Giants","60.0 %","90.1","4.8 %","79.5","","","11.4 %","76.5","23.8 %","80.2","","","","","0.3 %","14361"
"Tyler Lyons","Cardinals","42.7 %","90.0","52.0 %","80.0","","","","","5.3 %","85.3","","","","","0.9 %","11334"
"Dan Otero","Indians","80.5 %","90.0","9.5 %","81.4","","","","","10.0 %","82.3","","","","","1.9 %","7385"
"James Shields","White Sox","38.5 %","90.0","0.1 %","81.0","25.8 %","85.9","24.7 %","76.4","11.0 %","82.5","","","","","0.5 %","7059"
"Nick Vincent","Mariners","42.9 %","89.9","","","51.9 %","87.1","0.5 %","77.8","4.8 %","84.2","","","","","2.1 %","7555"
"Vance Worley","Marlins","56.6 %","89.9","","","36.0 %","87.6","6.8 %","76.9","0.7 %","82.4","","","","","1.6 %","6435"
"Marco Estrada","Blue Jays","53.7 %","89.9","","","6.7 %","86.6","7.7 %","77.6","31.9 %","77.6","","","","","","1118"
"Gio Gonzalez","Nationals","56.6 %","89.9","","","","","24.7 %","74.8","18.6 %","83.1","","","","","0.5 %","7448"
"Doug Fister","Red Sox","59.7 %","89.8","16.6 %","85.2","","","16.7 %","73.4","7.0 %","82.7","","","","","0.6 %","9425"
"Phil Hughes","Twins","45.9 %","89.7","","","20.7 %","86.0","20.1 %","77.0","13.3 %","82.1","","","","","0.9 %","7450"
"Zach Davies","Brewers","57.8 %","89.7","","","12.9 %","86.4","15.4 %","73.5","14.0 %","79.4","","","","","0.3 %","13183"
"Adam Wainwright","Cardinals","46.5 %","89.7","","","24.1 %","84.4","26.6 %","72.3","2.8 %","81.4","","","","","0.8 %","2233"
"Mike Fiers","Astros","48.0 %","89.7","5.1 %","81.9","9.4 %","87.2","19.2 %","73.9","18.3 %","82.5","","","","","","7754"
"Yusmeiro Petit","Angels","47.5 %","89.6","15.2 %","85.5","","","20.5 %","77.1","16.8 %","81.9","","","","","1.0 %","4020"
"Luke Gregerson","Astros","52.2 %","89.5","46.3 %","81.6","","","","","1.6 %","80.4","","","","","1.8 %","4090"
"Adam Conley","Marlins","64.3 %","89.5","16.4 %","84.8","","","1.3 %","79.1","18.1 %","82.4","","","","","0.9 %","14457"
"Scott Feldman","Reds","33.4 %","89.5","","","36.1 %","88.2","26.5 %","75.4","","","3.9 %","81.7","","","0.4 %","6283"
"Matt Cain","Giants","52.5 %","89.3","8.2 %","82.7","3.6 %","88.5","22.9 %","74.5","12.8 %","83.1","","","","","1.1 %","4732"
"Richard Bleier","Orioles","61.5 %","89.1","3.6 %","80.5","27.7 %","86.6","","","7.2 %","81.6","","","","","1.3 %","7803"
"Rich Hill","Dodgers","54.3 %","89.0","4.4 %","75.8","3.6 %","85.1","37.5 %","73.8","0.2 %","83.4","","","","","0.2 %","4806"
"Joe Smith","- - -","66.6 %","88.9","32.8 %","80.6","","","","","0.6 %","79.0","","","","","0.6 %","3281"
"Andrew Triggs","Athletics","43.8 %","88.9","23.2 %","75.4","32.5 %","82.4","","","0.6 %","82.2","","","","","0.3 %","13533"
"Travis Wood","- - -","54.5 %","88.8","10.2 %","80.0","22.2 %","86.6","4.7 %","72.1","8.4 %","80.8","","","","","","9884"
"Dallas Keuchel","Astros","57.9 %","88.7","18.8 %","78.5","10.2 %","86.7","","","13.0 %","78.6","","","","","","9434"
"Sam Gaviglio","- - -","57.1 %","88.6","20.7 %","83.2","","","13.0 %","79.2","9.2 %","83.8","","","","","0.4 %","12778"
"Christian Bergman","Mariners","48.8 %","88.3","28.0 %","85.3","","","12.1 %","77.2","11.1 %","80.5","","","","","0.5 %","10925"
"Bartolo Colon","- - -","82.7 %","87.8","7.3 %","81.5","0.2 %","86.4","","","9.8 %","81.2","","","","","","375"
"Josh Tomlin","Indians","35.7 %","87.7","","","35.0 %","85.5","24.1 %","74.4","5.3 %","83.2","","","","","","9388"
"Darren O'Day","Orioles","53.8 %","87.7","46.2 %","80.3","","","","","","","","","","","0.9 %","3321"
"David Holmberg","White Sox","48.4 %","87.6","18.3 %","80.4","","","14.3 %","73.0","19.0 %","81.6","","","","","1.1 %","7725"
"Wade LeBlanc","Pirates","35.9 %","87.3","5.5 %","80.4","26.1 %","84.6","5.3 %","73.0","27.2 %","78.4","","","","","0.4 %","5221"
"A.J. Griffin","Rangers","52.7 %","87.3","5.2 %","82.7","","","30.4 %","66.1","11.7 %","80.2","","","","","","11132"
"Alex Claudio","Rangers","56.6 %","86.7","13.3 %","77.2","","","","","30.0 %","71.1","","","","","1.0 %","12890"
"Sergio Romo","- - -","34.1 %","86.1","58.5 %","76.9","","","","","7.4 %","80.4","","","","","0.9 %","9817"
"Kyle Hendricks","Cubs","64.1 %","85.8","","","","","7.9 %","72.2","28.0 %","78.8","","","","","0.1 %","12049"
"Brent Suter","Brewers","70.7 %","85.8","12.1 %","75.1","","","6.0 %","72.9","11.2 %","80.2","","","","","0.6 %","13942"
"Jason Vargas","Royals","47.0 %","85.6","","","","","20.3 %","72.2","32.7 %","79.5","","","","","0.1 %","8044"
"Chris Smith","Athletics","53.5 %","85.5","24.5 %","76.7","","","","","22.0 %","74.8","","","","","0.4 %","4544"
"Bronson Arroyo","Reds","41.2 %","84.0","26.3 %","73.3","","","23.6 %","70.9","8.9 %","76.0","","","","","0.4 %","978"
"R.A. Dickey","Braves","18.0 %","83.4","","","","","0.1 %","70.0","3.5 %","71.9","","","78.5 %","77.2","0.4 %","1245"
