"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Jeff Locke","Pirates","66.4 %","91.5","6.6 %","83.8","","","1.2 %","79.4","25.7 %","82.2","","","","","0.8 %","2929"
"Antonio Bastardo","- - -","65.5 %","91.5","27.3 %","83.1","","","","","7.2 %","85.1","","","","","1.0 %","8844"
"Johnny Cueto","Giants","49.9 %","91.5","8.2 %","83.7","22.4 %","85.9","2.6 %","79.9","16.9 %","82.2","","","","","0.1 %","6893"
"Jeanmar Gomez","Phillies","61.8 %","91.5","13.2 %","83.7","","","0.4 %","75.6","24.6 %","84.4","","","","","0.7 %","9033"
"Matt Shoemaker","Angels","49.2 %","91.5","13.3 %","82.8","","","1.2 %","74.9","0.1 %","84.0","36.4 %","84.6","","","0.3 %","4776"
"Miguel Gonzalez","White Sox","47.4 %","91.5","23.0 %","86.7","","","9.5 %","77.2","","","20.1 %","84.3","","","0.3 %","7024"
"Steve Cishek","Mariners","48.7 %","91.4","50.2 %","78.6","","","","","1.1 %","83.4","","","","","0.5 %","6483"
"Scott Kazmir","Dodgers","55.3 %","91.4","8.8 %","81.0","8.7 %","87.5","7.3 %","77.3","19.9 %","76.8","","","","","0.5 %","4897"
"Hector Santiago","- - -","63.2 %","91.4","5.5 %","81.7","3.4 %","86.7","6.1 %","75.1","21.8 %","82.7","0.1 %","78.5","","","0.0 %","4026"
"Joel De La Cruz","Braves","52.1 %","91.4","23.4 %","86.0","","","","","24.4 %","84.5","","","","","0.1 %","12825"
"Zack Greinke","Diamondbacks","48.2 %","91.3","20.6 %","85.3","","","10.4 %","74.5","20.8 %","87.7","","","","","0.4 %","1943"
"Mike Morin","Angels","39.9 %","91.3","25.2 %","81.3","","","","","34.8 %","71.8","","","","","0.5 %","13442"
"Jake Thompson","Phillies","49.8 %","91.3","21.4 %","83.0","10.6 %","90.0","2.3 %","77.9","15.9 %","83.4","","","","","0.7 %","14371"
"Erasmo Ramirez","Rays","64.2 %","91.3","15.5 %","85.5","","","0.8 %","77.8","19.5 %","81.9","","","","","1.6 %","10314"
"Braden Shipley","Diamondbacks","56.2 %","91.2","","","","","24.6 %","79.8","19.2 %","84.4","","","","","0.3 %","15158"
"Matt Boyd","Tigers","60.9 %","91.2","11.2 %","84.3","","","12.2 %","73.9","15.7 %","79.3","","","","","","15440"
"Joe Blanton","Dodgers","30.0 %","91.2","38.9 %","86.8","","","19.6 %","80.2","11.6 %","86.0","","","","","1.3 %","4849"
"Williams Perez","Braves","74.4 %","91.2","","","","","15.6 %","76.8","10.0 %","78.9","","","","","1.2 %","11592"
"Tyrell Jenkins","Braves","65.2 %","91.2","","","","","18.7 %","80.2","16.2 %","81.7","","","","","0.5 %","11378"
"Fernando Salas","- - -","58.0 %","91.1","22.0 %","83.6","","","","","20.0 %","85.9","","","","","0.4 %","4971"
"Tyler Clippard","- - -","44.9 %","91.1","","","4.8 %","81.7","3.5 %","76.2","32.9 %","79.2","13.9 %","81.8","","","0.6 %","5640"
"Chase Anderson","Brewers","56.7 %","91.1","","","5.8 %","88.2","13.5 %","76.6","24.0 %","81.7","","","","","","6895"
"Anibal Sanchez","Tigers","57.3 %","91.1","13.8 %","84.0","3.1 %","88.4","9.0 %","77.3","16.8 %","83.3","","","","","0.2 %","3284"
"Adam Conley","Marlins","65.1 %","91.0","18.6 %","85.0","","","0.0 %","71.0","16.3 %","82.4","","","","","1.3 %","14457"
"Jerad Eickhoff","Phillies","52.8 %","91.0","17.9 %","81.9","","","24.2 %","75.0","5.2 %","84.0","","","","","0.3 %","12664"
"George Kontos","Giants","35.9 %","91.0","15.7 %","83.6","44.6 %","87.4","1.3 %","79.8","2.5 %","85.2","","","","","1.3 %","9486"
"Kyle Gibson","Twins","56.0 %","91.0","21.5 %","83.7","","","5.0 %","78.9","17.6 %","82.5","","","","","0.3 %","10123"
"Nick Tropeano","Angels","49.5 %","90.9","","","","","25.7 %","80.2","18.5 %","82.1","6.3 %","80.2","","","0.4 %","12385"
"Tyler Anderson","Rockies","43.8 %","90.9","26.4 %","86.4","","","1.1 %","76.2","28.8 %","81.3","","","","","0.3 %","12880"
"Aaron Blair","Braves","58.4 %","90.9","","","","","22.6 %","78.4","19.0 %","84.7","","","","","1.3 %","14934"
"Julio Teheran","Braves","56.0 %","90.9","26.3 %","81.0","","","9.3 %","71.7","8.4 %","82.1","","","","","0.2 %","6797"
"Madison Bumgarner","Giants","48.3 %","90.9","33.3 %","86.8","","","15.1 %","74.7","3.3 %","83.3","","","","","0.1 %","5524"
"Tim Adleman","Reds","63.4 %","90.8","","","","","18.6 %","75.6","18.0 %","84.2","","","","","0.5 %","10968"
"Gio Gonzalez","Nationals","64.5 %","90.8","","","","","19.8 %","77.2","15.7 %","83.7","","","","","0.3 %","7448"
"Dan Jennings","White Sox","61.8 %","90.8","38.1 %","83.1","","","","","0.1 %","82.0","","","","","","8073"
"Ryan Dull","Athletics","58.9 %","90.8","33.8 %","82.9","","","","","7.4 %","83.3","","","","","0.9 %","13974"
"Zack Godley","Diamondbacks","29.3 %","90.8","","","35.2 %","89.9","25.3 %","81.7","10.2 %","82.9","","","","","1.1 %","14862"
"Clayton Richard","- - -","73.5 %","90.8","12.8 %","81.5","0.6 %","87.7","","","13.1 %","84.0","","","","","1.2 %","3551"
"Jhoulys Chacin","- - -","53.2 %","90.8","21.1 %","82.1","7.0 %","87.4","11.1 %","78.4","7.6 %","83.9","","","","","0.6 %","2608"
"Adam Morgan","Phillies","49.3 %","90.7","26.0 %","82.8","","","5.6 %","75.8","19.1 %","79.0","","","","","0.5 %","12580"
"Josh Smith","Reds","39.4 %","90.7","36.6 %","84.8","","","22.2 %","78.0","1.8 %","82.0","","","","","0.8 %","10946"
"Wei-Yin Chen","Marlins","60.5 %","90.7","16.9 %","84.3","","","11.1 %","74.7","11.6 %","83.5","","","","","","13071"
"Mike Leake","Cardinals","48.4 %","90.6","8.9 %","80.9","28.6 %","89.3","5.8 %","78.4","8.3 %","84.9","","","","","0.2 %","10130"
"Jose Alvarez","Angels","46.2 %","90.6","28.1 %","85.2","","","6.1 %","77.2","19.6 %","79.9","","","","","1.7 %","5358"
"Alex Wood","Dodgers","53.1 %","90.6","","","","","29.2 %","82.1","17.7 %","83.9","","","","","","13781"
"Masahiro Tanaka","Yankees","31.6 %","90.6","26.1 %","83.7","8.0 %","88.3","5.4 %","75.4","","","28.9 %","86.6","","","","15764"
"Jaime Garcia","Cardinals","62.9 %","90.5","","","16.0 %","81.1","2.5 %","70.8","18.7 %","82.2","","","","","0.6 %","8137"
"Andrew Triggs","Athletics","55.6 %","90.5","19.9 %","76.6","22.7 %","83.5","","","1.8 %","83.0","","","","","0.4 %","13533"
"Kevin Quackenbush","Padres","63.2 %","90.5","4.7 %","82.5","","","31.6 %","78.4","","","0.5 %","82.8","","","0.8 %","12360"
"Travis Wood","Cubs","64.6 %","90.5","10.4 %","82.1","19.4 %","87.0","2.9 %","71.8","2.8 %","79.9","","","","","0.8 %","9884"
"Phil Hughes","Twins","49.0 %","90.5","","","25.7 %","87.8","22.7 %","77.2","2.7 %","84.3","","","","","","7450"
"Ross Stripling","Dodgers","46.5 %","90.5","21.6 %","86.4","","","21.9 %","77.6","10.0 %","82.2","","","","","0.8 %","13273"
"Felix Hernandez","Mariners","46.3 %","90.5","6.2 %","84.5","","","19.4 %","79.2","28.1 %","87.2","","","","","0.1 %","4772"
"Deolis Guerra","Angels","44.2 %","90.4","","","3.1 %","87.3","7.6 %","78.1","45.2 %","80.5","","","","","","8410"
"Ricky Nolasco","- - -","48.4 %","90.4","32.9 %","81.2","","","11.1 %","73.1","","","7.6 %","79.5","","","0.0 %","3830"
"Tyler Duffey","Twins","54.5 %","90.4","","","","","38.7 %","80.4","6.8 %","82.4","","","","","0.3 %","13758"
"James Shields","- - -","44.0 %","90.4","1.5 %","80.9","18.6 %","86.3","15.6 %","77.0","20.4 %","83.6","","","","","0.4 %","7059"
"Matt Cain","Giants","50.1 %","90.3","25.4 %","84.8","","","13.7 %","76.5","10.8 %","84.5","","","","","0.4 %","4732"
"Drew Pomeranz","- - -","47.7 %","90.3","","","12.8 %","85.8","39.2 %","79.2","0.4 %","82.3","","","","","0.4 %","11426"
"Scott Feldman","- - -","32.7 %","90.3","","","38.8 %","88.5","24.9 %","76.0","","","3.7 %","83.9","","","0.9 %","6283"
"Dan Otero","Indians","78.3 %","90.3","8.9 %","83.1","","","2.2 %","77.2","10.6 %","83.2","","","","","0.2 %","7385"
"Adam Wainwright","Cardinals","41.6 %","90.3","","","29.3 %","85.3","26.7 %","73.9","2.4 %","82.4","","","","","0.5 %","2233"
"Wade Miley","- - -","51.2 %","90.3","19.5 %","84.1","","","11.8 %","77.0","17.6 %","82.4","","","","","0.1 %","8779"
"Rich Hill","- - -","47.2 %","90.2","8.6 %","77.0","","","42.4 %","74.1","1.8 %","82.3","","","","","","4806"
"Rick Porcello","Red Sox","61.8 %","90.2","12.4 %","85.0","","","13.7 %","73.7","12.1 %","80.3","","","","","","2717"
"Collin McHugh","Astros","35.7 %","90.2","","","29.0 %","86.7","30.0 %","72.4","5.2 %","83.6","","","","","0.2 %","7531"
"Mat Latos","- - -","57.9 %","90.2","20.4 %","84.9","0.9 %","88.6","4.7 %","74.8","3.9 %","83.7","12.2 %","80.2","","","0.2 %","3815"
"Drew Smyly","Rays","56.5 %","90.2","","","14.4 %","85.1","22.7 %","75.8","6.3 %","80.1","","","","","0.1 %","11760"
"Logan Verrett","Mets","56.2 %","90.2","24.6 %","83.3","","","7.8 %","76.9","11.5 %","84.0","","","","","0.9 %","12905"
"Jorge de la Rosa","Rockies","35.6 %","90.1","","","21.0 %","86.2","9.7 %","73.3","33.7 %","81.6","","","","","0.4 %","2047"
"Aaron Nola","Phillies","57.6 %","90.1","","","","","33.8 %","76.3","8.7 %","81.7","","","","","0.4 %","16149"
"Ryan Vogelsong","Pirates","49.1 %","90.1","","","22.7 %","87.1","15.6 %","75.8","12.6 %","83.5","","","","","0.7 %","1011"
"Jeremy Hellickson","Phillies","49.4 %","90.1","","","9.3 %","85.5","15.2 %","76.7","26.1 %","80.5","","","","","0.1 %","4371"
"Kenta Maeda","Dodgers","42.9 %","90.0","28.8 %","81.4","","","17.9 %","72.5","10.4 %","82.5","","","","","0.9 %","18498"
"CC Sabathia","Yankees","34.4 %","90.0","24.9 %","80.1","29.3 %","88.5","","","11.5 %","83.5","","","","","0.1 %","404"
"Ubaldo Jimenez","Orioles","56.6 %","89.9","16.4 %","82.2","","","7.0 %","74.9","4.4 %","81.8","15.7 %","83.9","","","0.2 %","3374"
"Nick Vincent","Mariners","44.7 %","89.9","","","50.1 %","86.7","0.1 %","77.0","5.1 %","83.5","","","","","1.9 %","7555"
"Zach Neal","Athletics","61.4 %","89.8","22.0 %","85.5","","","2.4 %","75.0","14.2 %","81.8","","","","","","11294"
"Zach Duke","- - -","58.4 %","89.7","15.6 %","75.6","15.6 %","81.1","4.9 %","75.0","5.6 %","85.6","","","","","1.2 %","3840"
"Tyler Wilson","Orioles","61.5 %","89.6","21.5 %","79.2","","","4.4 %","75.8","12.6 %","81.6","","","","","0.1 %","12691"
"Chris Rusin","Rockies","43.7 %","89.6","3.5 %","83.5","28.0 %","86.7","6.6 %","78.7","18.2 %","82.0","","","","","0.6 %","9895"
"Mike Fiers","Astros","41.6 %","89.6","6.5 %","81.3","13.5 %","86.3","18.9 %","73.9","19.4 %","82.5","","","","","0.0 %","7754"
"Vidal Nuno","Mariners","31.6 %","89.5","33.3 %","84.0","6.8 %","85.4","9.3 %","78.2","19.0 %","83.2","","","","","0.9 %","9674"
"Yovani Gallardo","Orioles","55.7 %","89.5","26.6 %","86.3","","","12.2 %","77.1","5.5 %","83.0","","","","","0.4 %","8173"
"Dillon Gee","Royals","45.7 %","89.5","21.0 %","85.3","","","16.5 %","77.0","16.8 %","83.6","","","","","0.6 %","7396"
"Pat Dean","Twins","56.2 %","89.5","25.5 %","85.4","","","7.5 %","76.6","10.9 %","84.3","","","","","0.3 %","11350"
"John Lamb","Reds","53.2 %","89.4","0.1 %","79.0","16.5 %","84.7","13.2 %","67.6","16.9 %","74.4","","","","","","8493"
"Zach Davies","Brewers","56.0 %","89.3","","","12.6 %","85.4","10.9 %","72.3","20.6 %","78.5","","","","","","13183"
"Kyle Ryan","Tigers","61.9 %","89.3","","","21.0 %","84.8","8.7 %","78.4","8.5 %","83.1","","","","","1.9 %","11753"
"Dan Straily","Reds","51.0 %","89.3","26.0 %","83.1","","","4.7 %","72.6","18.4 %","82.3","","","","","0.7 %","9460"
"Francisco Rodriguez","Tigers","47.1 %","89.2","","","","","11.2 %","76.0","41.8 %","83.4","","","","","0.4 %","1642"
"Luke Gregerson","Astros","53.4 %","89.2","45.5 %","81.2","","","","","1.1 %","79.3","","","","","0.9 %","4090"
"Christian Friedrich","Padres","53.5 %","89.2","20.6 %","82.4","","","20.4 %","76.7","5.6 %","83.3","","","","","0.4 %","7942"
"Justin Nicolino","Marlins","52.0 %","89.2","","","17.8 %","86.5","12.1 %","77.0","18.2 %","82.7","","","","","0.5 %","11754"
"Vance Worley","Orioles","61.4 %","89.2","","","28.0 %","86.5","7.3 %","75.1","3.3 %","83.4","","","","","","6435"
"Jon Niese","- - -","56.0 %","89.1","","","24.6 %","86.1","8.9 %","74.4","10.4 %","82.7","","","","","0.5 %","4424"
"Brett Oberholtzer","- - -","58.3 %","89.1","","","","","15.5 %","79.5","26.2 %","80.3","","","","","0.3 %","3855"
"Jake Peavy","Giants","45.0 %","88.9","10.3 %","79.1","31.1 %","85.1","5.1 %","78.5","8.6 %","83.1","","","","","0.3 %","1051"
"Yusmeiro Petit","Nationals","49.5 %","88.6","20.5 %","85.4","","","16.4 %","76.8","13.5 %","81.7","","","","","1.3 %","4020"
"Dallas Keuchel","Astros","50.4 %","88.6","26.4 %","78.0","13.9 %","85.7","","","9.3 %","79.4","","","","","0.2 %","9434"
"Joe Smith","- - -","62.0 %","88.3","32.9 %","80.0","","","","","5.1 %","78.6","","","","","1.6 %","3281"
"Carlos Villanueva","Padres","45.7 %","88.1","28.3 %","82.2","","","12.8 %","73.2","13.2 %","81.9","","","","","1.1 %","4138"
"Marco Estrada","Blue Jays","49.8 %","88.1","","","11.7 %","85.7","9.9 %","76.0","28.6 %","77.0","","","","","0.2 %","1118"
"Chris Young","Royals","46.5 %","87.9","52.8 %","82.1","","","0.1 %","71.0","0.7 %","81.4","","","","","0.2 %","3196"
"Bartolo Colon","Mets","89.5 %","87.9","5.9 %","81.8","","","","","4.6 %","81.1","","","","","0.3 %","375"
"Hisashi Iwakuma","Mariners","45.7 %","87.8","18.2 %","81.1","8.9 %","85.1","9.0 %","70.9","","","18.2 %","83.3","","","0.4 %","13048"
"Kyle Hendricks","Cubs","65.2 %","87.8","","","","","7.8 %","75.5","27.1 %","80.1","","","","","0.5 %","12049"
"Josh Tomlin","Indians","38.0 %","87.7","","","39.5 %","85.4","14.9 %","75.1","7.6 %","83.3","","","","","0.3 %","9388"
"A.J. Griffin","Rangers","53.9 %","87.7","18.2 %","83.2","","","18.9 %","66.7","9.1 %","80.8","","","","","0.2 %","11132"
"Tommy Milone","Twins","38.9 %","87.6","0.6 %","79.3","15.7 %","86.9","11.0 %","74.5","33.8 %","81.2","","","","","0.7 %","7608"
"Colby Lewis","Rangers","52.8 %","87.3","32.3 %","82.2","","","7.8 %","76.4","7.1 %","82.0","","","","","","1259"
"Doug Fister","Astros","65.8 %","87.0","12.3 %","82.6","0.0 %","85.0","14.7 %","70.4","7.2 %","79.2","","","","","0.1 %","9425"
"Wade LeBlanc","- - -","34.5 %","86.9","0.1 %","86.0","28.6 %","84.3","6.9 %","74.3","30.0 %","77.9","","","","","","5221"
"Alex Claudio","Rangers","55.6 %","85.5","15.0 %","74.0","2.8 %","79.4","","","26.6 %","67.4","","","","","","12890"
"J.P. Howell","Dodgers","51.8 %","85.3","","","","","46.9 %","78.4","1.4 %","80.0","","","","","0.7 %","8245"
"Brad Ziegler","- - -","57.9 %","83.9","18.1 %","73.6","","","","","24.0 %","76.5","","","","","2.4 %","7293"
"Steven Wright","Red Sox","15.2 %","83.2","","","","","3.1 %","66.3","","","","","81.7 %","73.2","0.0 %","8185"
"Jered Weaver","Angels","43.5 %","83.0","16.6 %","76.6","","","22.2 %","69.0","17.7 %","74.5","","","","","0.3 %","4235"
"R.A. Dickey","Blue Jays","12.0 %","82.3","","","","","0.5 %","70.4","3.9 %","70.8","","","83.6 %","76.1","","1245"
"Bryan Shaw","Indians","","","18.3 %","81.5","81.5 %","93.5","","","","","0.3 %","82.7","","","0.6 %","8110"
