"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Joe Ross","Nationals","32.1 %","64.7 %","47.0 %","69.4 %","84.0 %","78.6 %","45.9 %","63.8 %","10.1 %","12972"
"Michael Fulmer","Tigers","32.1 %","70.0 %","49.3 %","66.6 %","89.0 %","81.0 %","45.4 %","61.4 %","9.4 %","13218"
"Matt Garza","Brewers","32.0 %","69.5 %","47.3 %","71.0 %","91.0 %","83.0 %","40.8 %","59.3 %","8.1 %","3340"
"Edwin Diaz","Mariners","32.0 %","70.2 %","49.3 %","51.0 %","76.3 %","67.3 %","45.2 %","55.8 %","16.1 %","14710"
"Matt Bowman","Cardinals","32.0 %","64.0 %","45.3 %","67.6 %","86.2 %","78.6 %","41.8 %","63.6 %","9.7 %","13528"
"Sean Manaea","Athletics","31.9 %","67.4 %","47.5 %","58.0 %","87.1 %","76.1 %","44.0 %","60.0 %","11.4 %","15873"
"Justin Verlander","- - -","31.9 %","70.3 %","49.1 %","65.3 %","85.4 %","78.2 %","44.8 %","61.6 %","10.7 %","8700"
"Andrew Chafin","Diamondbacks","31.9 %","61.4 %","43.2 %","58.4 %","88.9 %","75.0 %","38.3 %","52.5 %","10.8 %","12988"
"Liam Hendriks","Athletics","31.9 %","71.5 %","49.9 %","56.9 %","84.7 %","75.0 %","45.5 %","60.1 %","12.5 %","3548"
"Brad Hand","Padres","31.9 %","62.4 %","45.3 %","49.5 %","84.2 %","70.6 %","44.1 %","57.6 %","13.3 %","9111"
"Ryan Tepera","Blue Jays","31.9 %","73.5 %","49.2 %","53.2 %","85.4 %","73.2 %","41.6 %","62.4 %","13.2 %","10291"
"Chris Rusin","Rockies","31.8 %","69.7 %","50.1 %","56.1 %","83.7 %","74.6 %","48.3 %","59.4 %","12.7 %","9895"
"Patrick Corbin","Diamondbacks","31.8 %","66.0 %","46.5 %","57.2 %","88.4 %","76.2 %","43.1 %","62.5 %","11.1 %","9323"
"Blake Treinen","- - -","31.8 %","68.3 %","48.6 %","54.2 %","82.9 %","72.8 %","46.0 %","59.4 %","13.2 %","12572"
"Jimmy Nelson","Brewers","31.8 %","65.9 %","48.2 %","59.2 %","85.4 %","76.4 %","48.2 %","61.1 %","11.4 %","10547"
"Felipe Rivero","Pirates","31.8 %","69.9 %","51.1 %","55.7 %","75.1 %","69.1 %","50.6 %","58.0 %","15.8 %","12076"
"Jon Lester","Cubs","31.7 %","64.8 %","45.0 %","64.0 %","84.2 %","75.7 %","40.1 %","57.9 %","11.0 %","4930"
"Kyle Hendricks","Cubs","31.7 %","57.1 %","42.3 %","72.4 %","86.6 %","80.4 %","41.8 %","63.2 %","8.3 %","12049"
"Alex Colome","Rays","31.7 %","68.9 %","47.8 %","60.3 %","84.2 %","75.2 %","43.3 %","60.5 %","11.9 %","6661"
"Sam Dyson","- - -","31.7 %","66.0 %","46.8 %","72.0 %","89.6 %","83.0 %","44.1 %","53.1 %","8.0 %","11710"
"Erasmo Ramirez","- - -","31.6 %","69.3 %","48.9 %","68.1 %","85.2 %","79.2 %","45.9 %","61.6 %","10.2 %","10314"
"Cody Allen","Indians","31.6 %","65.5 %","46.0 %","44.3 %","82.7 %","67.5 %","42.5 %","58.9 %","14.9 %","12183"
"Sam Freeman","Braves","31.6 %","64.3 %","45.7 %","57.9 %","86.3 %","75.1 %","43.1 %","56.7 %","11.4 %","6832"
"Lance McCullers","Astros","31.6 %","63.7 %","45.5 %","48.3 %","90.1 %","73.7 %","43.5 %","55.7 %","12.0 %","14120"
"John Lackey","Cubs","31.6 %","66.1 %","47.1 %","63.8 %","86.3 %","77.9 %","44.8 %","65.4 %","10.4 %","1507"
"Clayton Richard","Padres","31.6 %","67.7 %","47.4 %","69.1 %","89.6 %","81.9 %","43.7 %","62.5 %","8.6 %","3551"
"Sonny Gray","- - -","31.6 %","66.9 %","46.2 %","55.8 %","86.5 %","74.3 %","41.6 %","61.7 %","11.9 %","12768"
"Robert Stephenson","Reds","31.5 %","66.7 %","45.7 %","57.8 %","82.4 %","72.3 %","40.3 %","54.3 %","12.6 %","13594"
"Asher Wojciechowski","Reds","31.4 %","68.3 %","48.8 %","64.5 %","85.4 %","78.3 %","47.2 %","66.0 %","10.6 %","10836"
"Felix Hernandez","Mariners","31.4 %","66.0 %","47.0 %","62.9 %","89.1 %","79.5 %","45.3 %","61.1 %","9.6 %","4772"
"Jhan Marinez","- - -","31.3 %","73.9 %","49.0 %","65.7 %","86.5 %","78.7 %","41.4 %","52.3 %","10.4 %","5830"
"Carlos Torres","Brewers","31.3 %","72.1 %","49.1 %","69.1 %","87.0 %","80.6 %","43.7 %","56.5 %","9.5 %","7624"
"Bud Norris","Angels","31.3 %","67.3 %","46.0 %","53.9 %","85.2 %","72.6 %","40.8 %","53.2 %","12.6 %","9492"
"Luis Severino","Yankees","31.3 %","67.2 %","49.0 %","55.2 %","82.3 %","73.5 %","49.3 %","65.1 %","13.0 %","15890"
"CC Sabathia","Yankees","31.3 %","66.6 %","45.9 %","70.6 %","87.5 %","80.7 %","41.5 %","61.3 %","8.9 %","404"
"Keynan Middleton","Angels","31.3 %","76.0 %","51.7 %","48.8 %","77.0 %","67.7 %","45.7 %","57.3 %","16.7 %","15264"
"Chris Archer","Rays","31.2 %","68.0 %","47.7 %","54.8 %","81.6 %","71.9 %","44.7 %","62.3 %","13.4 %","6345"
"Wandy Peralta","Reds","31.2 %","71.5 %","49.2 %","50.0 %","81.2 %","70.2 %","44.5 %","56.3 %","14.7 %","14295"
"Mike Leake","- - -","31.2 %","67.0 %","47.9 %","68.3 %","89.9 %","82.4 %","46.8 %","63.3 %","8.4 %","10130"
"Hyun-Jin Ryu","Dodgers","31.2 %","64.4 %","44.1 %","62.6 %","84.8 %","75.2 %","38.8 %","60.3 %","11.0 %","14444"
"Kyle Gibson","Twins","31.2 %","67.1 %","45.6 %","61.8 %","89.2 %","78.0 %","40.1 %","59.5 %","10.0 %","10123"
"Oliver Drake","- - -","31.1 %","64.8 %","46.3 %","60.3 %","83.1 %","74.7 %","45.2 %","63.0 %","11.7 %","8823"
"Carlos Carrasco","Indians","31.1 %","68.7 %","48.8 %","48.2 %","84.9 %","72.5 %","47.0 %","63.0 %","13.4 %","6632"
"Drew Storen","Reds","31.1 %","65.5 %","47.1 %","70.2 %","87.0 %","81.1 %","46.5 %","61.0 %","8.9 %","6983"
"Rafael Montero","Mets","31.0 %","64.0 %","44.8 %","67.6 %","83.8 %","77.3 %","41.8 %","63.5 %","10.2 %","12760"
"Ryan Buchter","- - -","31.0 %","72.8 %","49.5 %","72.0 %","82.8 %","79.0 %","44.4 %","59.0 %","10.4 %","9456"
"Emilio Pagan","Mariners","31.0 %","74.8 %","54.1 %","62.9 %","80.1 %","75.5 %","52.7 %","62.2 %","13.3 %","14771"
"Nick Martinez","Rangers","30.9 %","62.9 %","45.4 %","75.9 %","91.5 %","85.7 %","45.3 %","59.8 %","6.5 %","12730"
"Hector Rondon","Cubs","30.9 %","69.5 %","48.8 %","55.4 %","86.0 %","75.6 %","46.3 %","64.1 %","11.9 %","2391"
"Chris Hatcher","- - -","30.9 %","70.9 %","48.6 %","59.8 %","82.3 %","74.3 %","44.2 %","62.3 %","12.5 %","3299"
"Sean Newcomb","Braves","30.9 %","68.6 %","46.4 %","63.9 %","83.6 %","75.9 %","41.2 %","58.6 %","11.2 %","16943"
"David Hernandez","- - -","30.8 %","72.9 %","51.2 %","48.0 %","87.2 %","75.1 %","48.4 %","59.8 %","12.8 %","4259"
"Aaron Loup","Blue Jays","30.7 %","60.9 %","44.4 %","67.7 %","85.2 %","78.5 %","45.1 %","61.1 %","9.5 %","10343"
"Cole Hamels","Rangers","30.7 %","69.2 %","46.5 %","67.4 %","86.7 %","79.2 %","41.2 %","56.4 %","9.7 %","4972"
"Miguel Gonzalez","- - -","30.6 %","65.8 %","47.4 %","76.9 %","90.5 %","85.9 %","47.7 %","66.7 %","6.7 %","7024"
"Craig Stammen","Padres","30.6 %","64.9 %","45.8 %","53.6 %","87.5 %","74.8 %","44.1 %","65.4 %","11.5 %","7274"
"Julio Teheran","Braves","30.6 %","66.8 %","46.6 %","69.2 %","86.0 %","79.8 %","44.1 %","63.8 %","9.4 %","6797"
"Brad Brach","Orioles","30.6 %","69.7 %","48.6 %","63.4 %","80.9 %","75.0 %","46.0 %","58.6 %","12.2 %","6627"
"Danny Duffy","Royals","30.6 %","69.4 %","50.2 %","57.4 %","85.9 %","77.4 %","50.7 %","64.7 %","11.4 %","3542"
"Marco Estrada","Blue Jays","30.6 %","71.2 %","49.0 %","71.4 %","81.1 %","77.8 %","45.4 %","58.7 %","10.9 %","1118"
"Matt Boyd","Tigers","30.5 %","69.1 %","48.3 %","70.9 %","83.7 %","79.4 %","46.1 %","59.5 %","10.0 %","15440"
"Rick Porcello","Red Sox","30.5 %","69.3 %","49.4 %","69.8 %","86.2 %","81.0 %","48.6 %","67.2 %","9.4 %","2717"
"Jordan Zimmermann","Tigers","30.5 %","68.4 %","49.1 %","69.1 %","90.1 %","83.4 %","49.0 %","67.5 %","8.1 %","4505"
"Jose Berrios","Twins","30.5 %","64.2 %","45.3 %","66.7 %","86.9 %","79.3 %","44.0 %","59.1 %","9.4 %","14168"
"Jason Hammel","Royals","30.5 %","66.6 %","47.9 %","61.6 %","89.3 %","80.1 %","48.1 %","62.6 %","9.5 %","4538"
"Jameson Taillon","Pirates","30.4 %","64.5 %","46.3 %","67.7 %","90.1 %","82.2 %","46.5 %","62.4 %","8.2 %","11674"
"Jake Odorizzi","Rays","30.4 %","74.1 %","47.9 %","68.4 %","81.5 %","76.6 %","40.1 %","54.0 %","11.2 %","6397"
"Blake Snell","Rays","30.4 %","64.7 %","42.9 %","61.6 %","85.4 %","74.7 %","36.7 %","53.8 %","10.8 %","13543"
"Adam Warren","Yankees","30.3 %","69.0 %","45.6 %","68.0 %","85.9 %","78.7 %","39.5 %","52.5 %","9.7 %","9029"
"Luke Jackson","Braves","30.3 %","75.7 %","49.6 %","60.6 %","88.9 %","79.0 %","42.5 %","62.1 %","10.4 %","11752"
"Chase Anderson","Brewers","30.3 %","66.8 %","46.6 %","65.8 %","85.0 %","78.1 %","44.7 %","61.2 %","10.2 %","6895"
"Seth Lugo","Mets","30.3 %","66.2 %","46.7 %","71.4 %","87.0 %","81.5 %","45.8 %","59.2 %","8.7 %","12447"
"Yu Darvish","- - -","30.3 %","65.1 %","46.8 %","56.2 %","82.8 %","73.7 %","47.4 %","58.9 %","12.3 %","13074"
"Doug Fister","Red Sox","30.2 %","56.0 %","41.5 %","70.8 %","89.1 %","81.6 %","43.8 %","60.2 %","7.6 %","9425"
"Eduardo Rodriguez","Red Sox","30.2 %","69.9 %","47.0 %","64.0 %","81.8 %","75.2 %","42.2 %","61.2 %","11.7 %","13164"
"Parker Bridwell","Angels","30.2 %","68.1 %","47.2 %","64.5 %","89.2 %","80.5 %","44.9 %","63.2 %","9.2 %","11502"
"Alec Asher","Orioles","30.2 %","62.7 %","43.1 %","70.1 %","86.5 %","79.6 %","39.9 %","52.8 %","8.8 %","13560"
"Blake Wood","- - -","30.1 %","59.4 %","43.2 %","52.8 %","87.0 %","73.8 %","44.6 %","57.8 %","11.3 %","1345"
"Pedro Strop","Cubs","30.1 %","65.3 %","45.1 %","39.8 %","81.7 %","65.7 %","42.7 %","54.4 %","15.5 %","4070"
"Brent Suter","Brewers","30.1 %","64.7 %","47.7 %","67.9 %","87.0 %","81.1 %","50.8 %","67.2 %","9.0 %","13942"
