"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Michael Feliz","Astros","29.9 %","64.1 %","45.1 %","53.2 %","79.6 %","69.9 %","44.6 %","50.7 %","13.6 %","11903"
"Zach Duke","- - -","29.8 %","59.2 %","42.2 %","60.1 %","84.0 %","74.2 %","42.1 %","59.3 %","10.8 %","3840"
"Mike Clevinger","Indians","29.8 %","65.0 %","43.5 %","69.3 %","85.3 %","78.6 %","39.0 %","60.9 %","9.3 %","12808"
"Raisel Iglesias","Reds","29.8 %","62.4 %","44.7 %","60.2 %","81.9 %","74.1 %","45.7 %","53.5 %","11.6 %","17130"
"Matt Bush","Rangers","29.8 %","74.0 %","51.4 %","62.9 %","79.5 %","74.6 %","49.0 %","65.8 %","13.1 %","1246"
"Tyler Clippard","- - -","29.8 %","71.6 %","48.4 %","60.9 %","81.0 %","74.1 %","44.5 %","57.3 %","12.5 %","5640"
"Blake Snell","Rays","29.7 %","61.3 %","42.4 %","63.6 %","82.0 %","74.3 %","40.1 %","57.6 %","10.9 %","13543"
"Drew Storen","- - -","29.7 %","68.8 %","47.2 %","59.9 %","87.3 %","77.8 %","44.8 %","64.9 %","10.5 %","6983"
"Jake Arrieta","Cubs","29.6 %","65.0 %","45.3 %","60.6 %","86.1 %","76.8 %","44.3 %","59.0 %","10.5 %","4153"
"Junior Guerra","Brewers","29.6 %","68.6 %","46.7 %","60.7 %","85.5 %","76.7 %","43.8 %","58.5 %","10.9 %","5702"
"Chris Young","Royals","29.6 %","65.3 %","44.9 %","59.0 %","85.0 %","75.2 %","42.8 %","59.1 %","11.1 %","3196"
"Ian Kennedy","Royals","29.6 %","68.6 %","47.0 %","68.5 %","84.5 %","79.0 %","44.6 %","62.0 %","9.9 %","6986"
"Justin Grimm","Cubs","29.6 %","57.7 %","41.1 %","47.4 %","86.4 %","69.9 %","41.1 %","57.3 %","12.3 %","11720"
"Adam Conley","Marlins","29.5 %","69.0 %","46.4 %","63.3 %","87.5 %","78.7 %","42.9 %","63.7 %","9.8 %","14457"
"Aaron Nola","Phillies","29.5 %","55.7 %","42.2 %","61.5 %","85.9 %","77.1 %","48.3 %","60.7 %","9.6 %","16149"
"Jorge de la Rosa","Rockies","29.5 %","66.1 %","45.1 %","57.7 %","88.0 %","76.6 %","42.6 %","55.2 %","10.5 %","2047"
"David Hernandez","Phillies","29.5 %","68.4 %","48.5 %","57.9 %","83.6 %","75.6 %","48.8 %","58.1 %","11.7 %","4259"
"Jesse Chavez","- - -","29.5 %","74.9 %","49.4 %","71.2 %","86.9 %","81.6 %","43.9 %","63.5 %","9.0 %","5448"
"Steve Cishek","Mariners","29.5 %","57.6 %","40.9 %","58.8 %","82.5 %","72.4 %","40.7 %","61.6 %","11.3 %","6483"
"Jhoulys Chacin","- - -","29.3 %","62.7 %","44.0 %","63.9 %","91.5 %","81.2 %","44.0 %","61.6 %","8.3 %","2608"
"Sam Dyson","Rangers","29.3 %","68.2 %","47.8 %","69.1 %","89.1 %","82.7 %","47.6 %","61.1 %","8.3 %","11710"
"John Gant","Braves","29.3 %","68.3 %","46.0 %","63.5 %","87.6 %","78.8 %","42.9 %","59.9 %","9.7 %","13684"
"Edinson Volquez","Royals","29.3 %","65.1 %","45.5 %","66.4 %","89.5 %","81.4 %","45.5 %","56.3 %","8.5 %","3990"
"Jordan Zimmermann","Tigers","29.2 %","68.9 %","48.3 %","71.8 %","89.6 %","84.0 %","48.1 %","65.6 %","7.7 %","4505"
"Jaime Garcia","Cardinals","29.2 %","63.5 %","45.2 %","61.3 %","89.2 %","79.5 %","46.5 %","59.9 %","9.2 %","8137"
"Albert Suarez","Giants","29.2 %","67.8 %","46.2 %","70.6 %","87.9 %","81.8 %","44.0 %","59.7 %","8.3 %","6175"
"Hector Rondon","Cubs","29.1 %","65.3 %","46.1 %","65.3 %","82.2 %","76.5 %","47.0 %","72.0 %","10.8 %","2391"
"Tom Koehler","Marlins","29.1 %","65.3 %","44.4 %","61.3 %","88.0 %","77.9 %","42.2 %","59.4 %","9.7 %","6570"
"Justin Nicolino","Marlins","29.1 %","65.6 %","46.0 %","80.3 %","94.0 %","89.4 %","46.3 %","62.7 %","4.9 %","11754"
"Matt Moore","- - -","29.0 %","67.0 %","46.7 %","65.3 %","84.0 %","77.7 %","46.5 %","61.8 %","10.4 %","1890"
"Adam Wainwright","Cardinals","29.0 %","62.3 %","43.5 %","64.3 %","91.7 %","81.3 %","43.5 %","61.5 %","8.1 %","2233"
"Nick Tropeano","Angels","29.0 %","68.3 %","45.3 %","52.7 %","83.9 %","72.2 %","41.5 %","60.8 %","12.5 %","12385"
"Robbie Ray","Diamondbacks","29.0 %","66.1 %","46.5 %","58.5 %","83.2 %","75.1 %","47.2 %","55.7 %","11.6 %","11486"
"Chad Bettis","Rockies","29.0 %","66.3 %","44.7 %","66.5 %","88.6 %","80.4 %","42.3 %","62.7 %","8.7 %","10587"
"Matt Barnes","Red Sox","28.9 %","60.6 %","42.2 %","60.2 %","83.8 %","74.4 %","41.7 %","58.2 %","10.8 %","12863"
"Jered Weaver","Angels","28.9 %","62.9 %","45.3 %","77.5 %","84.3 %","82.1 %","48.3 %","64.2 %","8.1 %","4235"
"Carlos Rodon","White Sox","28.9 %","65.7 %","45.8 %","60.8 %","86.7 %","77.8 %","45.9 %","54.3 %","10.1 %","16137"
"Doug Fister","Astros","28.9 %","56.4 %","40.2 %","74.5 %","93.3 %","85.3 %","41.2 %","59.6 %","5.9 %","9425"
"Adam Warren","- - -","28.9 %","71.7 %","47.2 %","64.6 %","85.4 %","78.1 %","42.8 %","59.9 %","10.1 %","9029"
"Tanner Roark","Nationals","28.9 %","62.3 %","43.2 %","67.0 %","87.1 %","79.5 %","43.1 %","57.7 %","8.9 %","8753"
"Danny Salazar","Indians","28.8 %","68.4 %","47.0 %","61.7 %","83.6 %","76.3 %","45.8 %","53.9 %","11.1 %","5867"
"David Robertson","White Sox","28.8 %","64.3 %","45.0 %","51.9 %","82.8 %","72.0 %","45.6 %","61.4 %","12.4 %","8241"
"Bud Norris","- - -","28.7 %","66.7 %","46.3 %","64.5 %","88.1 %","80.2 %","46.2 %","62.0 %","9.1 %","9492"
"Jeanmar Gomez","Phillies","28.6 %","60.8 %","42.4 %","74.9 %","87.6 %","82.7 %","42.9 %","55.9 %","7.3 %","9033"
"Michael Tonkin","Twins","28.6 %","67.2 %","46.4 %","63.1 %","82.7 %","76.2 %","46.1 %","60.0 %","11.0 %","10315"
"James Shields","- - -","28.5 %","68.2 %","43.5 %","63.7 %","89.0 %","78.7 %","37.7 %","54.7 %","9.2 %","7059"
"Bryan Shaw","Indians","28.5 %","71.2 %","47.3 %","58.2 %","83.1 %","74.6 %","44.0 %","53.1 %","11.9 %","8110"
"John Lamb","Reds","28.5 %","62.8 %","44.4 %","77.3 %","83.7 %","81.5 %","46.2 %","57.9 %","8.2 %","8493"
"Braden Shipley","Diamondbacks","28.5 %","68.1 %","43.8 %","70.9 %","89.4 %","82.0 %","38.7 %","58.5 %","7.9 %","15158"
"Wily Peralta","Brewers","28.5 %","67.3 %","43.9 %","64.5 %","90.9 %","80.5 %","39.7 %","56.0 %","8.5 %","7738"
"Marco Estrada","Blue Jays","28.5 %","69.1 %","45.6 %","64.6 %","82.5 %","76.0 %","42.0 %","58.9 %","10.9 %","1118"
"Williams Perez","Braves","28.5 %","64.4 %","44.6 %","79.0 %","91.9 %","87.3 %","45.0 %","65.2 %","5.6 %","11592"
"Hansel Robles","Mets","28.3 %","70.9 %","48.4 %","70.1 %","80.2 %","77.1 %","47.1 %","60.4 %","11.0 %","11801"
"Brett Oberholtzer","- - -","28.3 %","68.5 %","48.0 %","70.9 %","88.0 %","82.9 %","49.1 %","62.3 %","8.2 %","3855"
"Joakim Soria","Royals","28.3 %","69.2 %","47.5 %","62.6 %","80.7 %","75.0 %","47.0 %","62.8 %","11.9 %","6941"
"Jose Quintana","White Sox","28.3 %","66.6 %","45.6 %","71.9 %","89.2 %","83.3 %","45.2 %","65.0 %","7.6 %","11423"
"Daniel Norris","Tigers","28.3 %","65.8 %","46.0 %","61.2 %","84.8 %","77.2 %","47.1 %","64.6 %","10.5 %","13475"
"Blake Wood","Reds","28.3 %","65.5 %","45.8 %","55.2 %","86.5 %","76.2 %","47.0 %","56.4 %","10.7 %","1345"
"Brandon Finnegan","Reds","28.3 %","66.8 %","45.0 %","65.5 %","86.0 %","78.7 %","43.4 %","54.6 %","9.6 %","16208"
"Scott Kazmir","Dodgers","28.3 %","64.9 %","44.9 %","68.1 %","84.1 %","78.6 %","45.4 %","59.8 %","9.6 %","4897"
"Ross Stripling","Dodgers","28.2 %","64.8 %","44.9 %","66.1 %","90.1 %","81.9 %","45.6 %","64.0 %","8.1 %","13273"
"Matt Albers","White Sox","28.2 %","65.4 %","44.5 %","75.7 %","89.0 %","84.3 %","44.0 %","59.9 %","7.0 %","4300"
"Trevor Cahill","Cubs","28.2 %","61.5 %","41.2 %","57.1 %","84.4 %","73.0 %","39.0 %","54.6 %","11.0 %","6249"
"Nathan Karns","Mariners","28.2 %","62.8 %","43.6 %","55.7 %","85.7 %","74.9 %","44.5 %","57.6 %","10.9 %","12638"
"J.A. Happ","Blue Jays","28.2 %","68.9 %","46.7 %","68.2 %","85.0 %","79.5 %","45.6 %","59.9 %","9.6 %","7410"
"Taylor Rogers","Twins","28.2 %","59.6 %","43.1 %","60.5 %","92.9 %","81.9 %","47.6 %","56.4 %","7.8 %","13449"
"Mike Fiers","Astros","28.1 %","66.3 %","45.7 %","68.8 %","86.4 %","80.6 %","46.1 %","62.7 %","8.9 %","7754"
"Steven Matz","Mets","28.1 %","64.4 %","46.8 %","63.4 %","85.4 %","79.0 %","51.5 %","64.9 %","9.8 %","13361"
"Shelby Miller","Diamondbacks","28.1 %","68.1 %","46.9 %","78.6 %","88.1 %","85.1 %","47.0 %","59.4 %","7.0 %","10197"
"Hunter Strickland","Giants","28.1 %","73.5 %","50.2 %","60.7 %","83.9 %","77.2 %","48.7 %","56.8 %","11.3 %","7836"
"Dan Straily","Reds","28.0 %","68.1 %","46.9 %","62.5 %","85.3 %","78.1 %","47.1 %","61.1 %","10.2 %","9460"
"Jake Diekman","Rangers","27.9 %","63.6 %","42.8 %","60.9 %","82.5 %","74.3 %","41.7 %","53.4 %","10.9 %","5003"
"Tyler Wilson","Orioles","27.9 %","67.3 %","47.0 %","68.7 %","92.7 %","85.4 %","48.5 %","57.0 %","6.9 %","12691"
"R.A. Dickey","Blue Jays","27.9 %","68.8 %","47.8 %","68.2 %","81.9 %","77.8 %","48.6 %","62.1 %","10.6 %","1245"
"John Axford","Athletics","27.8 %","67.9 %","44.5 %","65.5 %","82.4 %","76.2 %","41.5 %","50.9 %","10.6 %","9059"
"Seth Lugo","Mets","27.8 %","70.3 %","47.3 %","69.2 %","85.6 %","80.4 %","45.8 %","63.5 %","9.2 %","12447"
"Yordano Ventura","Royals","27.8 %","64.1 %","44.1 %","59.4 %","89.6 %","79.1 %","45.0 %","55.9 %","9.2 %","11855"
"Derek Law","Giants","27.8 %","63.8 %","44.9 %","50.0 %","90.0 %","77.0 %","47.5 %","62.6 %","10.3 %","13133"
"Chris Tillman","Orioles","27.7 %","67.9 %","45.4 %","72.3 %","85.3 %","80.8 %","44.0 %","56.8 %","8.7 %","5279"
"Jeff Locke","Pirates","27.7 %","72.3 %","48.4 %","71.2 %","87.5 %","82.5 %","46.4 %","61.5 %","8.4 %","2929"
"Jim Johnson","Braves","27.7 %","58.0 %","41.8 %","69.2 %","88.4 %","81.6 %","46.6 %","56.8 %","7.7 %","3656"
"Kendall Graveman","Athletics","27.7 %","64.1 %","44.5 %","68.3 %","90.9 %","83.4 %","46.2 %","64.6 %","7.4 %","15514"
"Edwin Jackson","- - -","27.7 %","67.9 %","44.7 %","64.9 %","86.8 %","78.9 %","42.3 %","53.4 %","9.4 %","1841"
"Ross Ohlendorf","Reds","27.7 %","69.6 %","46.2 %","60.0 %","86.0 %","77.3 %","44.3 %","55.9 %","10.5 %","8268"
"Jose Berrios","Twins","27.6 %","67.8 %","43.0 %","72.8 %","86.2 %","80.9 %","38.3 %","55.2 %","8.2 %","14168"
"Heath Hembree","Red Sox","27.5 %","69.7 %","48.6 %","65.3 %","85.6 %","79.9 %","50.0 %","58.7 %","9.7 %","11632"
"Daniel Mengden","Athletics","27.5 %","63.6 %","44.6 %","65.1 %","86.6 %","79.6 %","47.4 %","61.5 %","9.1 %","16980"
"Carlos Torres","Brewers","27.5 %","75.0 %","50.4 %","57.3 %","84.8 %","77.1 %","48.4 %","60.2 %","11.5 %","7624"
"Josh Smith","Reds","27.4 %","67.3 %","45.9 %","64.5 %","82.4 %","76.6 %","46.4 %","64.2 %","10.7 %","10946"
"Alex Wood","Dodgers","27.4 %","59.1 %","42.2 %","56.9 %","87.9 %","77.2 %","46.7 %","65.1 %","9.6 %","13781"
"Mat Latos","- - -","27.4 %","67.0 %","45.4 %","69.5 %","92.2 %","84.7 %","45.4 %","56.6 %","6.9 %","3815"
"A.J. Ramos","Marlins","27.3 %","61.0 %","41.9 %","49.4 %","83.9 %","71.1 %","43.1 %","60.4 %","12.0 %","8350"
"Luis Severino","Yankees","27.2 %","63.8 %","43.7 %","63.5 %","86.8 %","78.8 %","45.1 %","59.3 %","9.2 %","15890"
"Vance Worley","Orioles","27.1 %","64.0 %","43.9 %","81.2 %","93.2 %","89.1 %","45.7 %","55.3 %","4.8 %","6435"
"Kevin Quackenbush","Padres","27.1 %","64.0 %","43.6 %","71.7 %","89.4 %","83.3 %","44.7 %","56.5 %","7.2 %","12360"
"Rubby de la Rosa","Diamondbacks","27.0 %","65.3 %","44.2 %","52.8 %","88.4 %","76.4 %","44.9 %","53.2 %","10.4 %","3862"
"A.J. Griffin","Rangers","27.0 %","65.7 %","44.1 %","68.8 %","84.9 %","79.4 %","44.1 %","57.2 %","9.1 %","11132"
"Tyler Chatwood","Rockies","26.9 %","66.7 %","44.4 %","70.0 %","88.7 %","82.4 %","44.0 %","54.7 %","7.8 %","4338"
"Andrew Cashner","- - -","26.8 %","64.6 %","42.6 %","68.0 %","91.3 %","82.8 %","41.7 %","55.6 %","7.3 %","8782"
"Nick Wittgren","Marlins","26.8 %","70.1 %","48.8 %","87.3 %","86.5 %","86.7 %","50.8 %","62.0 %","6.4 %","15594"
"Ubaldo Jimenez","Orioles","26.8 %","60.3 %","41.8 %","65.9 %","87.8 %","80.1 %","44.9 %","57.7 %","8.3 %","3374"
"Zach Eflin","Phillies","26.6 %","66.8 %","46.8 %","77.1 %","92.2 %","87.9 %","50.3 %","61.8 %","5.7 %","13774"
"J.P. Howell","Dodgers","26.6 %","58.6 %","40.0 %","58.8 %","89.8 %","77.8 %","41.8 %","59.1 %","8.8 %","8245"
"Kyle Barraclough","Marlins","26.6 %","59.1 %","40.9 %","41.9 %","79.8 %","66.1 %","44.1 %","57.2 %","13.8 %","13713"
"Mike Pelfrey","Tigers","26.4 %","65.2 %","43.4 %","75.4 %","89.8 %","84.9 %","43.8 %","58.2 %","6.6 %","5203"
"Matt Cain","Giants","26.4 %","65.2 %","44.5 %","64.1 %","88.0 %","80.4 %","46.7 %","63.2 %","8.7 %","4732"
"Chad Kuhl","Pirates","26.4 %","68.8 %","45.0 %","65.7 %","87.5 %","80.3 %","43.9 %","57.1 %","8.9 %","14975"
"Archie Bradley","Diamondbacks","26.3 %","64.8 %","43.1 %","69.0 %","86.8 %","80.7 %","43.6 %","57.4 %","8.2 %","12918"
"Arquimedes Caminero","- - -","26.2 %","68.9 %","45.6 %","66.2 %","84.9 %","79.0 %","45.5 %","55.4 %","9.5 %","8992"
"Robbie Ross Jr.","Red Sox","26.2 %","64.1 %","44.0 %","65.7 %","80.4 %","75.8 %","47.0 %","57.1 %","10.7 %","6819"
"Jimmy Nelson","Brewers","26.1 %","64.2 %","44.5 %","71.1 %","88.5 %","83.3 %","48.4 %","58.1 %","7.4 %","10547"
"Scott Feldman","- - -","25.9 %","65.4 %","43.2 %","73.2 %","88.5 %","83.3 %","43.7 %","60.4 %","7.1 %","6283"
"Rich Hill","- - -","25.8 %","57.9 %","42.7 %","66.8 %","78.7 %","75.3 %","52.6 %","60.6 %","10.6 %","4806"
"Ariel Miranda","- - -","25.8 %","69.1 %","46.9 %","73.3 %","86.0 %","82.4 %","48.8 %","59.9 %","8.3 %","17526"
"Sonny Gray","Athletics","25.8 %","64.9 %","44.0 %","60.5 %","91.7 %","81.9 %","46.6 %","61.5 %","8.0 %","12768"
"Yovani Gallardo","Orioles","25.8 %","65.4 %","41.0 %","73.5 %","91.1 %","84.3 %","38.6 %","54.2 %","6.4 %","8173"
"Aaron Sanchez","Blue Jays","25.7 %","63.0 %","43.2 %","68.2 %","87.0 %","81.1 %","46.9 %","60.8 %","8.2 %","11490"
"Trevor Bauer","Indians","25.7 %","64.8 %","44.1 %","62.9 %","86.9 %","79.5 %","47.1 %","59.9 %","9.0 %","12703"
"Ryan Vogelsong","Pirates","25.7 %","64.2 %","39.9 %","73.7 %","90.8 %","83.9 %","36.9 %","57.9 %","6.4 %","1011"
"Steven Wright","Red Sox","25.6 %","66.3 %","44.4 %","70.4 %","78.1 %","75.7 %","46.1 %","55.0 %","10.8 %","8185"
"Phil Hughes","Twins","25.6 %","70.9 %","48.6 %","78.1 %","89.9 %","86.9 %","50.8 %","70.3 %","6.4 %","7450"
"Kevin Siegrist","Cardinals","25.4 %","65.6 %","43.7 %","63.9 %","81.7 %","76.0 %","45.5 %","58.9 %","10.4 %","8180"
"Carlos Estevez","Rockies","25.3 %","72.8 %","48.5 %","63.4 %","81.1 %","76.3 %","48.8 %","57.3 %","11.3 %","14542"
"Jake Thompson","Phillies","25.3 %","63.3 %","41.3 %","68.7 %","92.2 %","83.8 %","42.0 %","49.0 %","6.6 %","14371"
"Colin Rea","- - -","25.3 %","65.0 %","42.2 %","71.2 %","91.7 %","84.7 %","42.6 %","60.4 %","6.4 %","12317"
"Ryan Buchter","Padres","25.2 %","67.6 %","43.4 %","70.0 %","82.4 %","78.3 %","43.0 %","55.1 %","9.3 %","9456"
"Mike Wright","Orioles","25.2 %","68.3 %","45.9 %","74.6 %","91.1 %","86.4 %","48.2 %","58.5 %","6.3 %","12586"
"Hector Santiago","- - -","24.9 %","68.3 %","45.9 %","70.8 %","86.1 %","81.8 %","48.4 %","55.0 %","8.4 %","4026"
"Zach McAllister","Indians","24.6 %","67.2 %","44.7 %","64.2 %","84.0 %","78.2 %","47.2 %","59.7 %","9.7 %","2895"
"Chase Anderson","Brewers","24.6 %","69.0 %","44.5 %","72.1 %","85.5 %","81.4 %","44.8 %","57.7 %","8.3 %","6895"
"Paul Clemens","- - -","24.0 %","63.4 %","42.7 %","78.8 %","86.9 %","84.5 %","47.5 %","59.6 %","6.6 %","8037"
"Alfredo Simon","Reds","23.8 %","68.3 %","44.8 %","67.1 %","89.7 %","83.4 %","47.2 %","54.4 %","7.4 %","2155"
"Chien-Ming Wang","Royals","23.3 %","72.5 %","49.0 %","78.5 %","92.4 %","89.2 %","52.2 %","64.5 %","5.3 %","2074"
"Tony Cingrani","Reds","22.4 %","68.8 %","44.8 %","70.6 %","84.6 %","81.0 %","48.4 %","55.4 %","8.5 %","12555"
"Tyrell Jenkins","Braves","22.3 %","69.2 %","41.1 %","70.6 %","93.1 %","85.8 %","40.1 %","49.4 %","5.8 %","11378"
"David Phelps","Marlins","22.2 %","64.1 %","42.1 %","67.4 %","79.9 %","76.4 %","47.6 %","55.7 %","9.8 %","6316"
"Jarred Cosart","- - -","21.0 %","62.0 %","38.3 %","68.9 %","90.1 %","83.4 %","42.1 %","54.5 %","6.3 %","10304"
