"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Matt Cain","Giants","7.25","3.22","2.25","1.61","18.1 %","8.1 %","10.1 %",".287","1.51",".321","70.0 %","141","131","116","5.64","5.14","0.50","4.81","4.67","4732"
"Mike Pelfrey","Tigers","4.24","3.48","1.22","1.13","10.4 %","8.5 %","1.9 %",".327","1.73",".347","71.2 %","118","120","119","5.07","5.15","-0.09","5.06","5.25","5203"
"Carlos Villanueva","Padres","7.42","1.70","4.36","2.07","19.0 %","4.4 %","14.6 %",".293","1.39",".319","68.1 %","150","127","97","5.96","5.17","0.79","4.01","3.71","4138"
"Brandon Finnegan","Reds","7.59","4.40","1.73","1.52","19.8 %","11.4 %","8.3 %",".232","1.36",".256","77.0 %","95","123","118","3.98","5.19","-1.21","4.87","4.92","16208"
"Joel De La Cruz","Braves","5.31","3.16","1.68","1.44","13.4 %","8.0 %","5.4 %",".258","1.39",".268","65.3 %","118","129","121","4.88","5.19","-0.31","5.03","5.09","12825"
"Pat Dean","Twins","6.68","3.07","2.17","1.74","16.7 %","7.7 %","9.0 %",".318","1.65",".350","69.0 %","146","121","111","6.28","5.20","1.09","4.71","4.61","11350"
"Ariel Miranda","- - -","6.83","2.79","2.44","1.86","19.0 %","7.8 %","11.2 %",".220","1.12",".222","76.8 %","95","126","119","3.88","5.25","-1.37","5.06","4.77","17526"
"Dillon Gee","Royals","6.41","2.66","2.41","1.73","16.2 %","6.7 %","9.4 %",".287","1.46",".309","78.5 %","110","127","114","4.68","5.25","-0.57","4.83","4.60","7396"
"Nick Tropeano","Angels","8.96","4.08","2.19","1.84","23.0 %","10.5 %","12.5 %",".266","1.48",".309","91.1 %","87","127","115","3.56","5.27","-1.71","4.87","4.51","12385"
"Josh Smith","Reds","7.24","3.92","1.85","1.66","18.5 %","10.0 %","8.5 %",".245","1.39",".264","75.8 %","111","125","121","4.68","5.29","-0.62","4.99","4.56","10946"
"Tim Adleman","Reds","6.07","2.58","2.35","1.68","16.4 %","7.0 %","9.4 %",".244","1.21",".252","80.5 %","95","125","124","4.00","5.30","-1.29","5.15","4.87","10968"
"Mike Wright","Orioles","6.03","3.13","1.92","1.45","15.2 %","7.9 %","7.3 %",".276","1.43",".299","63.5 %","136","121","125","5.79","5.30","0.48","5.29","4.95","12586"
"Hector Santiago","- - -","7.12","3.91","1.82","1.63","18.3 %","10.1 %","8.3 %",".241","1.36",".260","74.0 %","113","126","129","4.70","5.31","-0.61","5.46","5.07","4026"
"Mat Latos","- - -","5.40","3.86","1.40","1.41","13.6 %","9.7 %","3.9 %",".266","1.49",".280","72.5 %","117","124","126","4.89","5.32","-0.43","5.35","5.40","3815"
"Jorge de la Rosa","Rockies","7.25","4.23","1.71","1.54","17.6 %","10.3 %","7.3 %",".289","1.64",".325","69.0 %","114","121","116","5.51","5.36","0.15","4.81","4.85","2047"
"Edwin Jackson","- - -","6.54","4.39","1.49","1.50","16.4 %","11.0 %","5.4 %",".278","1.58",".305","68.2 %","148","132","126","5.89","5.36","0.53","5.24","5.23","1841"
"Eddie Butler","Rockies","6.61","2.95","2.24","1.83","16.0 %","7.2 %","8.9 %",".323","1.69",".354","58.2 %","149","123","108","7.17","5.44","1.73","4.47","4.53","13453"
"John Lamb","Reds","7.46","3.99","1.87","1.80","18.2 %","9.8 %","8.5 %",".294","1.64",".327","64.3 %","153","129","114","6.43","5.46","0.97","4.72","4.83","8493"
"Zach Eflin","Phillies","4.41","2.42","1.82","1.71","11.4 %","6.3 %","5.2 %",".264","1.33",".261","63.1 %","133","128","129","5.54","5.48","0.06","5.36","5.41","13774"
"Logan Verrett","Mets","6.48","4.22","1.53","1.57","16.3 %","10.6 %","5.7 %",".279","1.56",".303","73.8 %","131","134","120","5.20","5.51","-0.31","4.97","5.01","12905"
"Luis Cessa","Yankees","5.89","1.79","3.29","2.05","16.1 %","4.9 %","11.2 %",".239","1.11",".233","76.8 %","102","126","106","4.35","5.52","-1.17","4.51","4.42","13345"
"Tommy Milone","Twins","6.36","2.86","2.23","1.95","15.8 %","7.1 %","8.7 %",".292","1.53",".308","62.8 %","133","129","104","5.71","5.54","0.17","4.41","4.61","7608"
"Ross Ohlendorf","Reds","9.32","4.39","2.13","1.92","23.5 %","11.0 %","12.4 %",".234","1.39",".265","80.1 %","111","132","118","4.66","5.58","-0.92","4.89","4.13","8268"
"Jon Niese","- - -","6.55","3.50","1.87","1.86","16.1 %","8.6 %","7.5 %",".292","1.59",".313","73.8 %","135","138","109","5.50","5.62","-0.11","4.49","4.65","4424"
"Jered Weaver","Angels","5.21","2.58","2.02","1.87","13.4 %","6.7 %","6.8 %",".294","1.46",".301","74.5 %","124","135","133","5.06","5.62","-0.56","5.64","5.44","4235"
"Paul Clemens","- - -","6.69","3.91","1.71","1.77","16.9 %","9.9 %","7.0 %",".258","1.44",".274","77.8 %","101","140","129","4.04","5.68","-1.65","5.33","5.07","8037"
"A.J. Griffin","Rangers","8.09","3.48","2.33","2.12","21.0 %","9.0 %","12.0 %",".254","1.36",".274","77.8 %","115","133","118","5.07","5.74","-0.68","5.01","4.63","11132"
"Braden Shipley","Diamondbacks","5.53","3.60","1.54","1.80","14.1 %","9.2 %","4.9 %",".289","1.54",".300","73.8 %","120","137","121","5.27","5.76","-0.49","4.99","5.20","15158"
"Matt Albers","White Sox","5.26","3.33","1.58","1.75","12.7 %","8.0 %","4.6 %",".312","1.68",".326","60.0 %","151","135","124","6.31","5.80","0.52","5.24","4.84","4300"
"James Shields","- - -","6.69","4.06","1.65","1.98","16.4 %","10.0 %","6.5 %",".284","1.60",".302","72.7 %","142","142","124","5.85","6.01","-0.16","5.21","5.12","7059"
"Aaron Blair","Braves","5.91","4.37","1.35","1.80","14.2 %","10.5 %","3.7 %",".289","1.66",".304","59.6 %","183","152","137","7.59","6.15","1.44","5.66","5.49","14934"
"Jake Thompson","Phillies","5.37","4.70","1.14","1.68","13.5 %","11.8 %","1.7 %",".259","1.51",".264","71.8 %","137","144","136","5.70","6.17","-0.46","5.64","5.68","14371"
"Jose Berrios","Twins","7.56","5.40","1.40","1.85","17.4 %","12.5 %","5.0 %",".307","1.87",".344","59.7 %","186","145","133","8.02","6.20","1.82","5.64","5.36","14168"
"Brett Oberholtzer","- - -","6.91","3.71","1.86","2.30","16.8 %","9.0 %","7.8 %",".292","1.62",".306","75.7 %","143","147","118","5.89","6.22","-0.33","4.90","4.57","3855"
"Chris Young","Royals","9.54","4.36","2.19","2.84","23.2 %","10.6 %","12.6 %",".287","1.66",".317","78.1 %","145","160","117","6.19","6.62","-0.43","4.98","4.40","3196"
"Tyrell Jenkins","Braves","4.50","5.71","0.79","1.90","11.0 %","13.9 %","-3.0 %",".271","1.69",".265","73.4 %","142","170","143","5.88","6.86","-0.97","5.93","6.18","11378"
"Alfredo Simon","Reds","5.98","4.76","1.26","2.30","13.1 %","10.4 %","2.7 %",".344","2.05",".361","59.8 %","223","168","138","9.36","7.14","2.22","5.71","5.34","2155"
